学校名１,学校名２,普通教室（室）,特別教室（室）,総合相談室（室）,体育館（ｍ２）,体育館小・中共用（ｍ２）,プール（ｍ）,プール小・中共用（ｍ）,運動場（ｍ２）,運動場小・中共用（ｍ２）,備考
小学校,三宅,6,8,1,797,,２５×１０,,6868,,
小学校,阿古,7,5,,700,,,２５×１３,,10127,
小学校,坪田,6,6,,680,,,２５×１１,3977,,
小学校,御蔵島,6,3,,,768,,２５×１２,,3751,サブプール５ｍ×５ｍ
小学校,三宅,3,8,,872,,２５×１１,,15624,,
小学校,阿古,3,9,,598,,,２５×１３,,10127,
小学校,坪田,3,7,,830,,,２５×１１,8793,,
小学校,御蔵島,3,5,,,768,,２５×１２,,3751,サブプール５ｍ×８ｍ
