区分,１,２,３,４,５,６,７,８,９,１０,１１,１２,計
回数,421,264,157,383,305,171,635,345,228,240,285,279,3713
震度１未満,421,263,153,380,303,171,632,343,227,237,285,279,3694
震度１以上,0,1,4,3,2,0,3,2,1,3,0,0,19
