地区,総数,理容所,美容所,クリーニング所,旅館業旅館,旅館業簡易宿舎,公衆浴場,温泉利用施設,プール,コインランドリー,簡易水道,簡易専用水道,小規模貯水槽特定,小規模貯水槽特定以外,墓地,火葬場
神着,20,1,1,1,4,4,,,1,,,2,1,3,2,
伊豆,23,,2,,,3,,,2,,,5,7,3,1,
伊ヶ谷,9,,,,2,3,,,,,,,,1,3,
阿古,59,2,3,,8,29,3,2,1,,,3,4,3,,1
坪田,60,3,3,,8,26,1,1,2,,1,6,4,3,2,
御蔵島,22,,2,,2,11,1,,1,,1,,2,1,1,
合計,193,6,11,1,24,76,5,3,7,0,2,16,18,14,9,1
