区分,犬捕獲回数,犬捕獲頭数,こう傷犬届出件数,こう傷犬検診数,畜犬苦情処理放し飼い,畜犬苦情処理その他
三宅島,31,0,0,0,1,1
御蔵島,0,0,0,0,0,0
合計,31,0,0,0,1,1
