区分１,区分２,三宅島,御蔵島（内燃力）,御蔵島（水力）
火力（内燃力）,認可出力（ｋＷ）,5000,600,50
火力（内燃力）,ユニット（ｋＷ）,１０００×３／２０００×１,１２０×３／２４０×１,５０×１
火力（内燃力）,台数,4,4,1
