年度別,変革,発電設備（ｋＷ）,送電時間,備考
昭和4年7月,ディーゼル発電機１台新設,60,日没より日の出,三宅島電気（株）経営
16.9,三宅島各村組合にて買収,60,日没より５時間,三宅島各村組合経営
18.4,関東配電（株）と統合,60,日没より５時間,関東配電（株）経営
23.8,ディーゼル発電機取替,80,日没より５時間,
26.5,発電、配電統合により改組,80,日没より５時間,東京電力（株）と名称変更
28.8,ディーゼル発電機取替,120,日没より５時間,
31.8,ディーゼル発電機取替,240,日没より５時間,
32.1,早朝２時間追加送電,240,日没より５時間,左記に早朝２時間追加
33.1,ディーゼル発電機増設２４０ｋＷ,480,日没より５時間,左記に早朝２時間追加
33.12,昼夜送電実施,480,２４時間,
34.12,ディーゼル発電機増設２４０ｋＷ,720,２４時間,
40.12,ディーゼル発電機増設２４０ｋＷ,960,２４時間,
44.6,ディーゼル発電機増設４００ｋＷ,1360,２４時間,
46.6,ディーゼル発電機増設４００ｋＷ,1760,２４時間,
47.4,ディーゼル発電機撤去２４０ｋＷ,1520,２４時間,
48.4,ディーゼル発電機増設１０００ｋＷ,2520,２４時間,
48.4,ディーゼル発電機撤去２４０ｋＷ,2280,２４時間,
49.7,ディーゼル発電機増設１０００ｋＷ,3280,２４時間,
52.9,ディーゼル発電機増設１０００ｋＷ,4280,,
平成4.10,ディーゼル発電機撤去２４０ｋＷ×２,3800,２４時間,
