村別,総数,１ｈａ未満,１～５ｈａ,５～２０ｈａ,２０～５０ｈａ,５０ｈａ以上
三宅村（人）,2394,1825,469,93,3,4
三宅村（％）,100,76.2,19.5,4.0,0.1,0.2
御蔵島村（人）,29,6,8,6,4,5
御蔵島村（％）,100,20.7,27.6,20.7,13.8,17.2
計（人）,2423,1831,477,99,7,9
計（％）,100,75.6,19.7,4.0,0.3,0.4
