年度別,変革,発電設備（ｋＷ）,送電時間（時間）,備考
平成8年5月,ディーゼル発電機増設２０００ｋＷ,5800,24,
8.9,ディーゼル発電機撤去４００ｋＷ×２,5000,24,
12.6,移動用発電機設置５００ｋＷ,5500,24,
,以上の経過で現在に至る,,,
