事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
停電時にも安心して避難者が避難できる都立公園等避難場所の機能強化を進めます,,,,,,57,,15
17,（９－２３）,都民のいのちを守る公園・緑地の強化・充実,建設局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
18,（９－２４）,海上公園の防災機能強化,港湾局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
19,４－８,舎人公園の非常用発電設備の活用,交通局,舎人公園に建設局が設置する非常用発電設備を活用し、災害時の電源供給停止時に電車が駅間に止まった場合に、車両を１編成ずつ最寄り駅まで移動させる。／また、防災活動などへの輸送協力依頼があった場合に車両１編成を活用し対応できるようにする。,・受電設備改修,57,・非常用発電設備の災害時における活用開始,15
