震度,１,２,３,４,５,６,７,８,９,１０,１１,１２,計
1,1,2,5,6,3,1,5,3,3,5,0,0,34
2,0,0,0,0,1,0,2,1,0,0,1,0,5
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
５弱,0,0,0,0,0,0,0,0,0,0,0,0,0
５強,0,0,0,0,0,0,0,0,0,0,0,0,0
