種別,三宅島漁獲量（ｋｇ）,三宅島生産額（千円）,御蔵島漁獲量（ｋｇ）,御蔵島生産額（千円）,合計漁獲量（ｋｇ）,合計生産額（千円）
とび流し刺し網,0,0,0,0,0,0
とび流しまき網,0,0,0,0,0,0
たかべ刺し網,2875,3561,1735,1368,4610,4929
建切網,0,0,0,0,0,0
あじさば棒受網,0,0,0,0,0,0
底魚一本釣り,20415,13562,157,102,20572,13664
いかつり,181,313,0,0,181,313
ひきなわ,63025,32113,4146,2465,67171,34578
突ん棒,0,0,0,0,0,0
えび刺し網,4916,20493,170,535,5086,21028
その他刺し網,0,0,0,0,0,0
定置網,0,0,0,0,0,0
採貝,3040,5492,4,4,3044,5496
採藻,42148,33356,13,158,42161,33514
その他,10573,9533,1352,2144,11925,11677
計,147173,118423,7577,6776,154750,125199
