区分,北緯,東経,比較位置,東京都からの距離１,東京都からの距離２（ｋｍ）,面積（ｋｍ２）,周囲（ｋｍ）,東西の距離（ｋｍ）,南北の距離（ｋｍ）,面積比較
三宅島,３４°０３´３３／３４°０７´,１３９°２８´３３／１３９°３４´,徳島県徳島市とほぼ同位置,東京から,180,55.50,38.30,7.5,8.6,東京都足立区より僅かに大
御蔵島,３３°５１´３３／３５°５４´,１３９°３５´３３／１３９°３８´,福岡県小倉とほぼ同位置,三宅島坪田から,18.4,20.58,16.4,5.0,5.15,港区より僅かに大
大野原島,３４°０３´,１３９°２３´,徳島県徳島市とほぼ同位置,三宅島阿古から,9.6,0.02,,,,
イナンバ島,３３°３９´,１３９°１８´,高知県高知市とほぼ同位置,三宅島阿古から,55,0.01,,,,
