事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
災害時の避難場所に活用できる都市農地の保全に対する支援を行います,,,,,,153,,228
20,４－９,都市農地保全支援プロジェクト,産業労働局,都市農業・農地の災害時の避難場所での活用など多面的機能を発揮させるため、整備支援（ハード）及び推進支援（ソフト）を実施する。,・９区市（杉並区、稲城市、府中市、小平市、清瀬市、武蔵村山市、昭島市、狛江市、東久留米市）に防災兼用井戸設置３６基、農薬飛散防止施設３６か所他を設置,153,・１４区市（杉並区、江戸川区、葛飾区、練馬区、稲城市、府中市、小平市、武蔵村山市、狛江市、東久留米市、小金井市、東村山市、武蔵野市、日野市）に防災兼用井戸設置４７基、農薬飛散防止施設１２か所他を設置予定,228
