地区別,建設業,製造業,卸・小売業,金融保険業,運輸通信業,電気・ガス水道業,サービス業,その他,計
神着,9,4,19,3,6,0,25,0,66
伊豆,4,4,6,0,2,1,7,0,24
伊ヶ谷,1,0,4,0,1,0,4,0,10
阿古,15,3,46,0,5,0,53,0,122
坪田,16,3,43,1,3,0,46,3,115
三宅村計,45,14,118,4,17,1,135,3,337
御蔵島村,2,1,6,0,0,0,12,1,22
合計,47,15,124,4,17,1,147,4,359
