電源種別,東京電力認可出力設置個所,東京電力認可出力（万ｋＷ）,東京電力構成比（％）,全国（９電力）認可出力設置個所,全国（９電力）認可出力（万ｋＷ）,全国（９電力）構成比（％）
水力,160,852,13.6,1159,3377,17.2
火力,26,3683,58.8,156,11939,60.8
原子力,3,1731,27.6,14,4313,22.0
風力,1,0.05,0,5,0.4,0
合計,190,6266,100.0,1334,19629,100.0
