年次,Year,総数 Total,包括罪種別 Comprehensive crime type／凶悪犯 Felonious offenses,包括罪種別 Comprehensive crime type／粗暴犯 Violent offenses,包括罪種別 Comprehensive crime type／窃盗犯 Larcenous offenses,包括罪種別 Comprehensive crime type／知能犯 Intellectual offenses,包括罪種別 Comprehensive crime type／風俗犯 Moral offenses,包括罪種別 Comprehensive crime type／その他 Others,学職別 Education／小学生 Elementary school students,学職別 Education／中学生 Junior high school students,学職別 Education／高校生 High school students,学職別 Education／その他の少年 Others,年齢別 Age／14歳未満 Under 14 years,年齢別 Age／14歳 14 years,年齢別 Age／15歳 15 years,年齢別 Age／16歳 16 years,年齢別 Age／17歳 17 years,年齢別 Age／18歳 18 years,年齢別 Age／19歳 19 years
平成25,2013,6675,77,682,3939,236,77,1664,649,2167,1878,1981,1427,909,944,955,722,769,949
平成26,2014,5937,99,588,3468,199,59,1524,626,1873,1594,1844,1348,783,801,804,659,696,846
平成27,2015,5616,49,576,3313,214,75,1389,730,1568,1614,1704,1339,662,719,862,624,656,754
平成28,2016,4837,53,527,2806,168,59,1224,698,1214,1367,1558,1184,476,569,643,576,661,728
平成29,2017,4568,70,534,2675,184,72,1033,881,984,1260,1443,1363,335,464,614,532,596,664
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,
20-12  少年犯罪の包括罪種別・学職別・年齢別の検挙・補導人員 （平成25～29年） 20-12 JUVENILE OFFENDERS ARRESTED OR TAKEN INTO CUSTODY BY TYPE OF CRIMINAL OFFENSE， EDUCATION， AND AGE ( 2013-2017 ）,,,,,,,,,,,,,,,,,,,
注) 14歳未満は，6～13歳を表す。,,,,,,,,,,,,,,,,,,,
"Note: ""Under 14 years"" indicates juvenile offenders aged between 6 and 13.",,,,,,,,,,,,,,,,,,,
資料：警視庁生活安全部少年育成課 「少年育成活動の概況」 Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,,,,,,,
