種類,Type,項番 Item number,区分,Classification,マーク Mark,総額 Total value,土地 Land／面積 Area(m2),土地 Land／価格 Value,建物 Buildings／延面積 Total floor space(m2),建物 Buildings／価格 Value,工作物 Structures,立木 Timber,船舶 Ships,航空機 Aircraft,浮標，浮さん橋，浮ドック Buoys， floating piers and docks,地上権等 Surface rights， etc.,特許権等 Patent rights， etc.,株式等 Securities， etc.,出資による権利 Rights based on investments,信託の受益権  Rights based in trusts
一般財産 ,General assets,1,総額,Total,,11829725,89709572,6237462,27374406,3458982,1036225,846,11696,4873,1646,6640,9296,240832,642234,178992
一般財産 ,General assets,2,行政財産,Administrative assets,,9798575,81570710,5709109,26365320,3121748,943758,751,11527,4873,1368,5443,-,-,-,-
一般財産 ,General assets,3,普通財産,Non-administrative assets,,2031149,8138862,528354,1009086,337234,92468,95,169,-,279,1196,9296,240832,642234,178992
準公営企業用財産 ,Quasi-autonomous public enterprise assets,4,総額,Total,,2444854,13137926,1493563,1924568,311994,476130,1,112,-,-,250,162,112417,6,50218
準公営企業用財産 ,Quasi-autonomous public enterprise assets,5,行政財産,Administrative assets,,1519030,6286982,780109,1870921,310691,427867,1,112,-,-,250,-,-,-,-
準公営企業用財産 ,Quasi-autonomous public enterprise assets,6,普通財産,Non-administrative assets,,925823,6850944,713454,53647,1302,48264,-,-,-,-,-,162,112417,6,50218
公営企業用財産,Public enterprise assets,,,,1),13776330,258632921,1059698,3017894,1160472,11504434,2033,150,-,-,311,-,46991,2240,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (1) 都有 (平成29年度末) 21-9  PUBLIC ASSETS  (1) ASSETS OWNED BY THE TOKYO METROPOLITAN GOVERNMENT ( End of Fiscal Year 2017 ),,,,,,,,,,,,,,,,,,,,
注1) 行政財産及び普通財産の合計額である。　,,,,,,,,,,,,,,,,,,,,
Note:1) Figures are the total amounts of “administrative assets” and “non-administrative assets.”,,,,,,,,,,,,,,,,,,,,
資料：都財務局財産運用部総合調整課 Source: Bureau of Finance， TMG,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,
