品目階層,品目,Item,平成27年 2015／数量 Quantity,平成27年 2015／金額 Value,平成28年 2016／数量 Quantity,平成28年 2016／金額 Value,平成29年 2017／数量 Quantity,平成29年 2017／金額 Value
0,総数,Total,2035703,579275463,1993439,599267617,2029671,582649839
1,野菜,Vegetables,1549946,395045724,1521456,408082203,1550922,389505379
2,根菜類,Root vegetables,269563,35554318,253711,39588134,257669,35531673
3,だいこん,Japanese radish,140938,12652358,131049,13657670,131725,12576898
3,かぶ,Turnip,16592,2274117,15613,2265348,15019,2172186
3,にんじん,Carrot,91605,11589212,88391,14253521,92577,11887559
3,ごぼう,Edible burdock,9753,2891601,8262,3124242,8825,3018109
3,れんこん,Lotus root,8179,4542759,7556,4703068,7390,4428299
3,その他,Others,2496,1604269,2839,1584284,2132,1448622
2,キャベツ類,Cabbage varieties,190032,20047228,192189,19316600,195808,19239446
2,レタス類,Lettuce varieties,96457,21876044,97581,21780498,95782,19231609
2,葉茎菜類,Leaf and stem vegetables,291098,86871188,285637,91153504,299060,89706973
3,はくさい,Chinese cabbage,111946,8556906,114729,10000675,125987,11150952
3,こまつな,"""Komatsuna""",13700,4375574,13687,4523538,13775,4560951
3,ほうれんそう,Spinach,16680,8691706,14412,8321812,14776,8122233
3,ねぎ,Welsh onion,55467,17280084,54176,19155640,53077,18437248
3,ブロッコリー,Broccoli,26292,10107106,23618,10801080,28765,11308873
3,その他,Others,67014,37859812,65015,38350759,62681,36126716
2,果菜類,Fruit vegetables,310509,116100145,314494,121257419,317211,114898915
3,きゅうり,Cucumber,76466,24778990,78208,26092192,77515,24049604
3,かぼちゃ,Pumpkin　,34507,6660685,34468,6723255,33477,6239678
3,なす,Eggplant,29898,11765197,31629,12808677,32164,12498784
3,トマト,Tomato,84621,31365872,84558,33059467,84868,30656528
3,ピーマン,Bell pepper,22192,10291707,23466,10720888,24220,10368102
3,その他,Others,62825,31237694,62165,31852940,64967,31086221
2,豆科野菜類,Legumes,15621,12699274,13644,11843985,14250,11809846
3,いんげん,String bean,4087,3401997,3550,3143452,3367,2912409
3,えだまめ,Green soybean,5896,4912663,5884,4934610,5741,4649945
3,その他,Others,5637,4384615,4210,3765923,5142,4247492
2,ばれいしょ類,Potatoes,94026,14166564,87809,16084840,92733,14483378
2,土物類,Sweet potatoes/onions， etc.,192888,35586582,188334,34843219,191756,33302386
3,かんしょ,Sweet potato,30309,7403782,29054,6967364,29477,6484224
3,たまねぎ,Onion,131398,14303206,129363,13585295,134150,13269505
3,その他,Others,31182,13879594,29916,14290560,28129,13548657
2,香辛つま物類,Spices/garnishes,13358,18930407,13310,19297283,13000,18678624
3,根しょうが,Ginger,4930,3120637,5081,3309672,4831,3006912
3,その他,Others,8428,15809770,8229,15987612,8169,15671712
2,きのこ山菜類,Mushrooms/Wild plants,42927,24275862,42940,23959303,43207,23632761
3,なましいたけ,"""Shiitake"" mushroom， fresh",7034,7089425,7077,7278598,7452,7653929
3,えのきだけ,"""Enokidake"" mushroom",12893,3357922,14071,3302538,14944,3042586
3,しめじ,"""Shimeji"" mushroom",10749,4725921,10314,4338614,9928,4137826
3,その他,Others,12252,9102594,11478,9039553,10883,8798421
2,その他野菜類,Others,5932,3107332,5453,3252049,5090,3468031
3,うめ,"""Ume"" apricot",2307,816338,2022,874079,1934,1086515
3,その他,Others,3625,2290994,3431,2377970,3155,2381516
2,野菜加工品,Processed vegetables,27535,5830781,26353,5705368,25356,5521736
1,果実,Fruits,447980,171386077,434623,178406506,443165,180635919
2,みかん類,Mandarins,102356,27426267,94062,29225253,99023,30588697
2,かんきつ類,Citrus varieties,56020,16517121,52700,17136389,55335,17421700
3,いよかん,"""Iyo""tangor",5922,1266786,6780,1573053,5774,1289289
3,グレープ,Grapefruit,5623,1027078,5191,1049843,4495,823005
3,その他,Others,44476,14223257,40729,14513494,45066,15309406
2,りんご類,Apples,67269,21148941,65455,21750032,68142,19758220
