会計,Account,会計階層,区分,Classification,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
特別区財政調整,Financial adjustments for ku,0,歳入,Revenue,952794,976300,976299
特別区財政調整,Financial adjustments for ku,1,繰入金,Funds transferred,952794,976300,976299
特別区財政調整,Financial adjustments for ku,1,諸収入,Miscellaneous,0,0,-
特別区財政調整,Financial adjustments for ku,1,繰越金,Balance brought forward,0,0,-
特別区財政調整,Financial adjustments for ku,0,歳出,Expenditure,952794,976300,976299
特別区財政調整,Financial adjustments for ku,1,特別区交付金,Grants for ku,952794,976300,976299
地方消費税清算,Local consumption tax adjustment,0,歳入,Revenue,1929607,2121623,2087207
地方消費税清算,Local consumption tax adjustment,1,地方消費税,Local consumption tax,1325418,1483973,1446028
地方消費税清算,Local consumption tax adjustment,1,諸収入,Miscellaneous,431320,446393,449923
地方消費税清算,Local consumption tax adjustment,1,繰越金,Balance brought forward,172869,191257,191256
地方消費税清算,Local consumption tax adjustment,0,歳出,Expenditure,1808530,1926310,1884664
地方消費税清算,Local consumption tax adjustment,1,地方消費税清算費,Local consumption tax adjustment,1808530,1926310,1884664
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳入,Revenue,372,372,757
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,事業収入,Operations,9,9,7
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,諸収入,Miscellaneous,0,0,1
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,繰越金,Balance brought forward,363,363,750
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳出,Expenditure,372,372,10
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,貸付費,Loans,372,372,10
母子父子福祉貸付資金,Single parent welfare loan funds,0,歳入,Revenue,4467,4467,5385
母子父子福祉貸付資金,Single parent welfare loan funds,1,事業収入,Operations,2957,2957,3365
母子父子福祉貸付資金,Single parent welfare loan funds,1,繰入金,Funds transferred,279,279,133
母子父子福祉貸付資金,Single parent welfare loan funds,1,諸収入,Miscellaneous,0,0,3
母子父子福祉貸付資金,Single parent welfare loan funds,1,都債,Metropolitan debt,236,236,-
母子父子福祉貸付資金,Single parent welfare loan funds,1,繰越金,Balance brought forward,995,995,1884
母子父子福祉貸付資金,Single parent welfare loan funds,0,歳出,Expenditure,4467,4467,3058
母子父子福祉貸付資金,Single parent welfare loan funds,1,貸付費,Loans,4467,4467,3058
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳入,Revenue,4927,4927,4790
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,財産収入,Revenue from property,115,115,109
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰入金,Funds transferred,4812,4812,4679
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,諸収入,Miscellaneous,0,0,3
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰越金,Balance brought forward,0,0,0
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳出,Expenditure,4927,4927,4790
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,扶養年金費,Annuity,4927,4927,4790
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,0,歳入,Revenue,2783,2783,2727
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,事業収入,Operations,2752,2752,982
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,繰入金,Funds transferred,26,26,25
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,諸収入,Miscellaneous,0,0,0
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,繰越金,Balance brought forward,5,5,1721
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,0,歳出,Expenditure,2783,2783,1010
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,助成費,Subsidies,2783,2783,1010
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,0,歳入,Revenue,52,52,103
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,事業収入,Operations,5,5,5
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,繰入金,Funds transferred,1,1,-
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,諸収入,Miscellaneous,0,0,0
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,繰越金,Balance brought forward,46,46,98
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,0,歳出,Expenditure,52,52,-
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,助成費,Subsidies,52,52,-
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,0,歳入,Revenue,48,48,134
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,事業収入,Operations,19,19,19
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,繰入金,Funds transferred,1,1,0
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,諸収入,Miscellaneous,0,0,0
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,繰越金,Balance brought forward,28,28,116
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,0,歳出,Expenditure,48,48,4
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,助成費,Subsidies,48,48,4
と場,Slaughter house,0,歳入,Revenue,6785,6785,5937
と場,Slaughter house,1,使用料及手数料,Charges and fees,1423,1423,1335
と場,Slaughter house,1,繰入金,Funds transferred,4426,4426,3915
と場,Slaughter house,1,諸収入,Miscellaneous,52,52,79
と場,Slaughter house,1,都債,Metropolitan bonds,884,884,609
と場,Slaughter house,1,繰越金,Balance brought forward,0,0,-
と場,Slaughter house,0,歳出,Expenditure,6785,6785,5937
と場,Slaughter house,1,と場事業費,Slaughter house operations,6785,6785,5937
都営住宅等事業,Metropolitan public housing， etc.,0,歳入,Revenue,178038,191181,153266
都営住宅等事業,Metropolitan public housing， etc.,1,分担金及負担金,Beneficiary contribution,263,265,163
都営住宅等事業,Metropolitan public housing， etc.,1,使用料及手数料,Charges and fees,68028,68028,68282
都営住宅等事業,Metropolitan public housing， etc.,1,国庫支出金,National treasury disbursements,34965,40591,24601
都営住宅等事業,Metropolitan public housing， etc.,1,財産収入,Revenue from property ,2045,2045,1947
都営住宅等事業,Metropolitan public housing， etc.,1,繰入金,Funds transferred,28173,28667,27403
都営住宅等事業,Metropolitan public housing， etc.,1,諸収入,Miscellaneous,6218,6285,5025
都営住宅等事業,Metropolitan public housing， etc.,1,都債,Metropolitan bonds,38347,45168,24077
都営住宅等事業,Metropolitan public housing， etc.,1,繰越金,Balance brought forward,0,132,1769
都営住宅等事業,Metropolitan public housing， etc.,0,歳出,Expenditure,178038,191181,152114
都営住宅等事業,Metropolitan public housing， etc.,1,都営住宅等事業費,Metropolitan public housing， etc.,178038,191181,152114
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,0,歳入,Revenue,7010,7010,7969
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,保証金収入,Security deposits ,539,539,1486
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,繰入金,Funds transferred,1011,1011,1010
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,諸収入,Miscellaneous,1,1,1
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,繰越金,Balance brought forward,5459,5459,5473
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,0,歳出,Expenditure,1654,1654,1367
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,返還金,Refunds,654,654,567
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,繰出金,Funds transferred,1000,1000,800
都市開発資金,Urban development funds,0,歳入,Revenue,2196,2196,1343
都市開発資金,Urban development funds,1,財産収入,Revenue from property,1187,1187,1343
都市開発資金,Urban development funds,1,繰入金,Funds transferred,9,9,-
都市開発資金,Urban development funds,1,諸収入,Miscellaneous,1,1,0
都市開発資金,Urban development funds,1,都債,Metropolitan bonds,1000,1000,-
都市開発資金,Urban development funds,1,繰越金,Balance brought forward,0,0,-
都市開発資金,Urban development funds,0,歳出,Expenditure,2196,2196,1343
都市開発資金,Urban development funds,1,用地費,Land acquisition,2196,2196,1343
用地,Land acquisition,0,歳入,Revenue,18264,18282,13252
用地,Land acquisition,1,財産収入,Revenue from property,5197,5197,5192
用地,Land acquisition,1,繰入金,Funds transferred,849,849,396
用地,Land acquisition,1,諸収入,Miscellaneous,1,1,0
用地,Land acquisition,1,都債,Metropolitan bonds,7616,7624,129
用地,Land acquisition,1,繰越金,Balance brought forward,4601,4611,7535
用地,Land acquisition,0,歳出,Expenditure,18264,18282,6146
用地,Land acquisition,1,用地費,Land acquisition,18264,18282,6146
公債費,Debt services,0,歳入,Revenue,1147429,1147429,1143471
公債費,Debt services,1,財産収入,Revenue from property,1873,1873,1956
公債費,Debt services,1,繰入金,Funds transferred,1018389,1018389,1025893
公債費,Debt services,1,諸収入,Miscellaneous,338,338,345
公債費,Debt services,1,都債,Metropolitan bonds,126828,126828,115277
公債費,Debt services,0,歳出,Expenditure,1147429,1147429,1143471
公債費,Debt services,1,公債費,Debt services,1147429,1147429,1143471
臨海都市基盤整備事業,Waterfront urban infrastructure development,0,歳入,Revenue,4401,5032,4922
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,分担金及び負担金,Allotments and shares,0,0,2
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,使用料及手数料,Charges and fees,0,0,0
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,繰入金,Funds transferred,2229,2229,354
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,諸収入,Miscellaneous,0,0,0
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,繰越金,Balance brought forward,2172,2803,4566
臨海都市基盤整備事業,Waterfront urban infrastructure development,0,歳出,Expenditure,3034,3665,1355
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,臨海都市基盤整備費,Waterfront urban infrastructure development,3034,3665,1355
,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-3  特別会計予算，決算額 (平成29年度) 21-3  BUDGETS AND SETTLEMENTS OF THE SPECIAL ACCOUNTS ( Fiscal Year 2017 ),,,,,,,
注) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
Note: The final budget includes the balance brought forward from the previous fiscal year.  ,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:歳入・歳出　1:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
