年度末,End of fiscal year,地域コード,項番 Item number,地域,District,総額 Total value,行政財産 Administrative assets／総額 Total value,行政財産 Administrative assets／土地 Land／面積 Area(m2),行政財産 Administrative assets／土地 Land／価格 Value,行政財産 Administrative assets／建物 Buildings／延面積 Total floor space(m2),行政財産 Administrative assets／建物 Buildings／価格 Value,行政財産 Administrative assets／工作物 Structures,行政財産 Administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／総額 Total value,普通財産 Non-administrative assets／土地 Land／面積 Area(m2),普通財産 Non-administrative assets／土地 Land／価格 Value,普通財産 Non-administrative assets／建物 Buildings／延面積 Total floor space (m2),普通財産 Non-administrative assets／建物 Buildings／価格 Value,普通財産 Non-administrative assets／工作物 Structures,普通財産 Non-administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／不動産の信託の受益権 Real estate trust beneficiary rights
平成25,2013,13100,,区部,All ku,13205242,12522856,29477862,9670446,16072109,2673590,171724,7096,682386,1884006,461224,730392,130130,1441,64562,25028
平成26,2014,13100,,区部,All ku,13424791,12731522,29498621,9783687,16237637,2767738,172994,7095,693268,1971103,475800,707031,123812,1316,67311,25028
平成27,2015,13100,,区部,All ku,13821681,12985214,29544628,10021571,16189281,2798489,158044,7094,836467,2028159,613142,711379,129613,1343,67336,25028
平成28,2016,13100,,区部,All ku,13471958,12661283,29638800,9863282,16254804,2647290,142793,7901,810675,2088295,600216,750334,117576,1205,66649,25028
平成29,2017,13100,,区部,All ku,14230479,13327043,29667357,10472120,16265714,2697180,149523,7969,903436,2111871,694172,744709,116463,1098,66671,25032
平成29,2017,13101,1,千代田区,Chiyoda-ku,6185,6185,203437,…,316998,…,…,6185,…,26830,…,52506,…,…,…,-
平成29,2017,13102,2,中央区,Chuo-ku,606039,548443,400348,377517,545431,165088,5615,223,57596,48287,48258,23284,7966,77,1294,-
平成29,2017,13103,3,港区,Minato-ku ,871273,839761,712862,645660,701088,189532,4559,-,31512,90675,27495,10711,2504,5,1507,-
平成29,2017,13104,4,新宿区,Shinjuku-ku,805641,727438,961536,655850,570478,71008,581,-,78203,93700,47423,51012,4895,-,854,25032
平成29,2017,13105,5,文京区,Bunkyo-ku,429885,402874,722727,335438,415917,66814,622,-,27011,26291,21047,32207,5687,-,277,-
平成29,2017,13106,6,台東区,Taito-ku,245095,226671,405393,107083,440730,110815,8772,-,18424,35473,6205,19647,1296,56,10867,-
