年度末,End of fiscal year,年次,Year,月次 ,Month,総数 Total,特別高圧 Extra high voltage,高圧 High voltage,低圧 Low voltage,低圧 Low voltage／特定需要　Specified demand,低圧 Low voltage／自由料金　Free rate
平成28,2016,平成28,2016,総数,Total,77850259,20118698,26579450,31152111,24134916,7017195
平成29,2017,平成29,2017,総数,Total,78692235,20061383,26580905,32049947,21773851,10276096
平成29,2017,平成29,2017,4,Apr,6230785,1549956,2046896,2633933,1872408,761525
平成29,2017,平成29,2017,5,May,5689977,1648908,1922692,2118377,1499737,618640
平成29,2017,平成29,2017,6,Jun,5770729,1715168,2144599,1910962,1312740,598222
平成29,2017,平成29,2017,7,Jul,6994408,1966835,2472305,2555268,1825861,729407
平成29,2017,平成29,2017,8,Aug,7386840,1930484,2610504,2845852,1992311,853541
平成29,2017,平成29,2017,9,Sep,6748752,1766775,2389611,2592366,1781764,810602
平成29,2017,平成29,2017,10,Oct,5874221,1666140,2083160,2124922,1425443,699479
平成29,2017,平成29,2017,11,Nov,5966261,1563596,1997553,2405111,1611976,793135
平成29,2017,平成29,2017,12,Dec,6576956,1606620,2168403,2801933,1860306,941627
平成29,2017,平成30,2018,1,Jan,7361448,1551446,2284459,3525543,2350959,1174584
平成29,2017,平成30,2018,2,Feb,7509837,1518522,2385637,3605678,2336937,1268741
平成29,2017,平成30,2018,3,Mar,6582021,1576933,2075086,2930002,1903409,1026593
,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,
"6-１ 電力需要実績 （平成28,29年度） 6-１ ELECTRICITY DEMAND ( FISCAL YEAR 2016 and 2017)",,,,,,,,,,,
資料：資源エネルギー庁「都道府県別電力需要実績」　Source: Agency for Natural Resources and Energy ,,,,,,,,,,,
"（単位　1,000キロワット時）(In 1,000kWh)",,,,,,,,,,,
