年度,Fiscal year,組織,Form of organization,業種,Contractor classification,資本金階層別,By size of capital,企業数 Enterprises,完成工事高 Value of construction work completed／元請 Original contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／機械 Machinery,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／機械 Machinery,完成工事高 Value of construction work completed／下請 Subcontract／総数 Total,完成工事高 Value of construction work completed／下請 Subcontract／土木 Civil engineering,完成工事高 Value of construction work completed／下請 Subcontract／建築 Building construction,完成工事高 Value of construction work completed／下請 Subcontract／機械 Machinery
平成28,2016,業種別（許可業者）,By contractor classification (licensed contractors),総合工事業,General construction work,水道施設工事業,Plumbing work,169,153420,24925,3227,194,21504,128495,49367,2488,76651,45907,32482,918,12507
平成28,2016,業種別（許可業者）,By contractor classification (licensed contractors),総合工事業,General construction work,舗装工事業,Paving work,314,316593,69837,63875,5459,503,246755,245734,1021,0,495586,493581,1846,159
平成28,2016,業種別（許可業者）,By contractor classification (licensed contractors),総合工事業,General construction work,しゅんせつ工事業,Dredging work,8,1893,24,24,0,0,1869,1869,0,0,18549,18537,0,12
平成28,2016,業種別（許可業者）,By contractor classification (licensed contractors),総合工事業,General construction work,建築工事業　　,Building work (except wooden buildings),2829,3938015,3609724,47080,3445884,116761,328291,19001,304226,5064,610387,30752,557663,21973
平成28,2016,業種別（許可業者）,By contractor classification (licensed contractors),総合工事業,General construction work,木造建築工事業,Building work (wooden buildings),895,1171993,1169317,172,1163377,5768,2676,44,2632,0,49197,91,42057,7050
平成28,2016,業種別（許可業者）,By contractor classification (licensed contractors),職別工事業,Construction work by specialist contractor,,,6948,1004849,872642,72151,730265,70226,132207,49538,64814,17854,2413209,441939,1894846,76425
平成28,2016,業種別（許可業者）,By contractor classification (licensed contractors),設備工事業,Equipment installation work,,,6734,5306600,4312207,681998,1690360,1939849,994393,70457,350350,573585,3216363,93815,2264434,858114
平成28,2016,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数,Total,,,15666,15785707,11910611,1609948,9661161,639501,3875096,2551418,1277900,45777,5550095,1333731,3790463,425901
平成28,2016,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／個人,Total／Sole proprietorship,,,911,5989,5873,98,5695,81,117,0,108,9,15000,101,13667,1232
平成28,2016,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,,,14755,15779718,11904739,1609850,9655468,639420,3874979,2551418,1277792,45768,5535094,1333630,3776795,424670
平成28,2016,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,200万円未満,Under2millionyen,704,1584,1584,0,1584,0,0,0,0,0,33974,8360,25615,0
平成28,2016,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,200万円～500万円未満,2-5millionyen,3608,115403,107464,2855,101936,2672,7939,4880,3048,11,190442,53029,130614,6799
平成28,2016,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,500万円～1000万円未満,5-10millionyen,1680,24393,21024,1001,20009,14,3368,844,2524,0,127960,38896,88889,176
平成28,2016,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,1000万円～3000万円未満,10-30millionyen,6951,688507,471881,19263,345140,107476,216626,98914,110592,7120,1319205,211295,931578,176332
平成28,2016,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,3000万円～5000万円未満,30-50millionyen,946,679169,522702,33142,474256,15304,156467,92896,55021,8550,461327,131284,282024,48019
平成28,2016,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,5000万円～1億円未満,50-100millionyen,563,569171,418558,73992,308624,35942,150613,66514,78755,5344,702340,249692,387110,65538
平成28,2016,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,1億円～10億円未満,100millionyento1billionyen,221,1405375,1213108,184358,905931,122819,192267,104475,84364,3428,1077063,268374,753778,54911
平成28,2016,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,10億円～50億円未満,1-5billionyen,42,1596203,1276176,213215,953410,109551,320027,181301,123916,14810,627124,93868,498829,34427
平成28,2016,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,50億円以上,5billionyenormore,40,10699913,7872242,1082023,6544577,245642,2827671,2001595,819571,6505,995659,278832,678359,38468
平成28,2016,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,都内元請完成工事高及び施工企業数,Value of original contracts and number of enterprises completing construction work within Tokyo-to ,13238,7776247,6101128,545269,5188711,367148,1675119,756179,765249,153690,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,
3-6  経営組織，業種別による企業数，完成工事高（平成24～28年度） 3-6  ENTERPRISES， VALUE OF CONSTRUCTION WORK COMPLETED BY FORM OF ORGANIZATION AND CONTRACTOR CLASSIFICATION ( Fiscal Years 2012-2016）,,,,,,,,,,,,,,,,,,,,,
資料：国土交通省 「建設工事施工統計調査報告」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,,
