年度末,End of fiscal year,テレビTV broadcasting facilities／総数 Total,テレビTV broadcasting facilities／登録設備 Registered,テレビTV broadcasting facilities／届出設備 Filed
平成25,2013,4838,72,4766
平成26,2014,4789,69,4720
平成27,2015,3873,64,3809
平成28,2016,2557,64,2493
平成29,2017,2546,64,2482
,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK (2017) 5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,
5-5  有線放送施設数（テレビ） (平成25～平成29年度末) 5-4 CABLE BROADCASTING FACILITIES （ TV ）( End of Fiscal Years 2013-2017),,,,
資料：総務省情報流通行政局　　Source: Ministry of Internal Affairs and Communications,,,,
