海区,Sea region,区分,Classification,区分,Classification,生産量 Quantity
総数,Total,総数,Total,,,3399545
総数,Total,魚類,Fish,総数,Total,2943637
総数,Total,魚類,Fish,きんめだい,Alfonsino,1092005
総数,Total,魚類,Fish,とびうお,Flying fish,201349
総数,Total,魚類,Fish,むろあじ,Mackerel scad,142767
総数,Total,その他の水産動物,Other marine animals,総数,Total,149339
総数,Total,その他の水産動物,Other marine animals,いか類,Squid,93406
総数,Total,その他の水産動物,Other marine animals,いせえび,Spiny lobster,38511
総数,Total,その他の水産動物,Other marine animals,かめ ,Sea turtle　,14720
総数,Total,貝類,Shellfish,総数,Total,101565
総数,Total,貝類,Shellfish,あさり類,Shortnecked clams,62411
総数,Total,貝類,Shellfish,さざえ,Top shell,18270
総数,Total,貝類,Shellfish,とこぶし,Japanese abalone,7758
総数,Total,藻類,Seaweed,総数,Total,205005
総数,Total,藻類,Seaweed,てんぐさ,Tengusa,124681
総数,Total,藻類,Seaweed,とさかのり,Comb paste,79926
東京湾海区,Tokyo bay area,総数,Total,,,280532
東京湾海区,Tokyo bay area,魚類,Fish,総数,Total,213968
東京湾海区,Tokyo bay area,魚類,Fish,すずき,Sea bass,104048
東京湾海区,Tokyo bay area,魚類,Fish,かれい類,Flounder,29256
東京湾海区,Tokyo bay area,魚類,Fish,あなご,Conger,13143
東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,総数,Total,507
東京湾海区,Tokyo bay area,貝類,Shellfish,総数,Total,66047
東京湾海区,Tokyo bay area,貝類,Shellfish,あさり類,Shortnecked clams,62411
東京湾海区,Tokyo bay area,藻類,Seaweed,総数,Total,10
大島海区,Oshima sea area,総数,Total,,,1242944
大島海区,Oshima sea area,魚類,Fish,総数,Total,951986
大島海区,Oshima sea area,魚類,Fish,きんめだい,Alfonsino,540456
大島海区,Oshima sea area,魚類,Fish,いさき,Grunt,37070
大島海区,Oshima sea area,魚類,Fish,めだい,Doderlein,130930
大島海区,Oshima sea area,その他の水産動物,Other marine animals,総数,Total,70059
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いか類,Squid,35681
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,33032
大島海区,Oshima sea area,貝類,Shellfish,総数,Total,34310
大島海区,Oshima sea area,貝類,Shellfish,さざえ,Top shell,17950
大島海区,Oshima sea area,貝類,Shellfish,とこぶし,Japanese abalone,7201
大島海区,Oshima sea area,貝類,Shellfish,くぼがい,Chlorostoma lischkei ,6518
大島海区,Oshima sea area,藻類,Seaweed,総数,Total,186589
大島海区,Oshima sea area,藻類,Seaweed,てんぐさ,Tengusa,106522
大島海区,Oshima sea area,藻類,Seaweed,とさかのり,Comb paste,79906
三宅海区,Miyake sea area,総数,Total,,,225699
三宅海区,Miyake sea area,魚類,Fish,総数,Total,203110
三宅海区,Miyake sea area,魚類,Fish,きんめだい,Alfonsino,77146
三宅海区,Miyake sea area,魚類,Fish,まぐろ類,Tuna,34021
三宅海区,Miyake sea area,魚類,Fish,かつお類,Skipjack,21130
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,総数,Total,3105
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,1812
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いか類,Squid,1167
三宅海区,Miyake sea area,貝類,Shellfish,総数,Total,1098
三宅海区,Miyake sea area,貝類,Shellfish,さざえ,Top shell,320
三宅海区,Miyake sea area,貝類,Shellfish,とこぶし,Japanese abalone,447
三宅海区,Miyake sea area,藻類,Seaweed,総数,Total,18386
三宅海区,Miyake sea area,藻類,Seaweed,てんぐさ,Tengusa,18159
三宅海区,Miyake sea area,藻類,Seaweed,いわのり,Spontaneous purple,80
八丈海区,Hachijo sea area,総数,Total,,,1116084
八丈海区,Hachijo sea area,魚類,Fish,総数,Total,1110601
八丈海区,Hachijo sea area,魚類,Fish,きんめだい,Alfonsino,474383
八丈海区,Hachijo sea area,魚類,Fish,とびうお,Flying fish,193222
八丈海区,Hachijo sea area,魚類,Fish,むろあじ,Mackerel scad,119151
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,総数,Total,5354
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いか類,Squid,5090
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,251
八丈海区,Hachijo sea area,貝類,Shellfish,総数,Total,110
八丈海区,Hachijo sea area,貝類,Shellfish,とこぶし,Japanese abalone,110
八丈海区,Hachijo sea area,藻類,Seaweed,総数,Total,20
八丈海区,Hachijo sea area,藻類,Seaweed,とさかのり,Comb paste,20
小笠原海区,Ogasawara sea area,総数,Total,,,534286
小笠原海区,Ogasawara sea area,魚類,Fish,総数,Total,463972
小笠原海区,Ogasawara sea area,魚類,Fish,かじき類,Swordfish,198024
小笠原海区,Ogasawara sea area,魚類,Fish,はまだい,Ruby snapper,93197
小笠原海区,Ogasawara sea area,魚類,Fish,まぐろ類,Tuna,67003
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,総数,Total,70314
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,かめ ,Sea turtle　,14720
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,いか類,Squid,51466
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,いせえび,Spinylobster,3417
小笠原海区,Ogasawara sea area,貝類,Shellfish,総数,Total,-
小笠原海区,Ogasawara sea area,藻類,Seaweed,総数,Total,-
,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,
9-7  海区別生産量（平成28年）9-7 CATCHES ( QUANTITY ) BY SEA REGION ( 2016 ),,,,,,
"大手水産会社による遠洋・沖合漁業を除く。						",,,,,,
"Excluding deep sea and offshore activities by large fishery companies.						",,,,,,
"注) 数値は，主要生産量のみを掲げてあるので，内訳の合計は総数に一致しない。						",,,,,,
"Note: The total is not the sum of the details as detailed figures are given for key quantities only.						",,,,,,
"資料：都産業労働局農林水産部水産課 「東京都の水産」 Source: Bureau of Industrial and Labor Affairs， TMG						",,,,,,
"（単位　キログラム） (Quantity in kg)						",,,,,,
