項番 Item number,地域,District,消防署,Fire Station,マーク Mark,4階以上の建築物数 Buildings with 4 stories and more／総数 Total,4階以上の建築物数 Buildings with 4 stories and more／4階 4 Stories,4階以上の建築物数 Buildings with 4 stories and more／5階 5 Stories,4階以上の建築物数 Buildings with 4 stories and more／6階 6 Stories,4階以上の建築物数 Buildings with 4 stories and more／7階 7 Stories,4階以上の建築物数 Buildings with 4 stories and more／8階 8 Stories,4階以上の建築物数 Buildings with 4 stories and more／9階 9 Stories,4階以上の建築物数 Buildings with 4 stories and more／10階 10 Stories,4階以上の建築物数 Buildings with 4 stories and more／11階 11 Stories,4階以上の建築物数 Buildings with 4 stories and more／12階 12 Stories,4階以上の建築物数 Buildings with 4 stories and more／13～29階 13-29 Stories,4階以上の建築物数 Buildings with 4 stories and more／30階以上 30 Stories and higher,地階を有する建築物数 Buildings with basements／総数 Total,地階を有する建築物数 Buildings with basements／地下1階 1 Basement level,地階を有する建築物数 Buildings with basements／地下2階 2 Basement levels,地階を有する建築物数 Buildings with basements／地下3階 3 Basement levels,地階を有する建築物数 Buildings with basements／地下4階以下 4 Basement levels and lower
,総数,Total,,,,169229,50818,41018,19349,14961,12282,9338,7527,4173,2884,6544,335,70548,62506,6433,1090,519
,区部,All ku,,,,143619,41624,32540,16912,13346,11040,8659,6869,3678,2657,5969,325,60268,52932,5816,1023,497
1,千代田区,Chiyoda-ku,丸の内署,Marunouchi F. Sta.,,198,18,13,5,4,10,21,15,13,4,71,24,244,68,53,38,85
2,千代田区,Chiyoda-ku,麹町署,Kojimachi F. Sta.,,1985,198,309,297,258,260,256,174,50,41,131,11,1291,931,267,57,36
3,千代田区,Chiyoda-ku,神田署,Kanda F. Sta.,,4633,474,816,715,623,659,607,360,95,109,170,5,2286,1938,298,40,10
4,中央区,Chuo-ku,京橋署,Kyobashi F. Sta.,,3628,294,476,438,454,532,546,390,143,152,198,5,2234,1682,439,72,41
5,中央区,Chuo-ku,日本橋署,Nihonbashi F. Sta.,,3786,303,560,539,505,501,500,383,172,142,177,4,1890,1562,234,67,27
6,中央区,Chuo-ku,臨港署,Rinko F. Sta.,,627,106,85,59,59,98,40,37,17,33,64,29,213,163,35,7,8
7,港区,Minato-ku,芝署,Shiba F. Sta.,,4007,470,635,488,465,501,537,321,151,119,278,42,2144,1729,297,78,40
8,港区,Minato-ku,麻布署,Azabu F. Sta.,,2446,565,490,314,281,239,188,107,68,54,132,8,1748,1490,209,32,17
9,港区,Minato-ku,赤坂署,Akasaka F. Sta.,,1969,404,389,259,208,206,190,129,53,33,87,11,1664,1354,237,56,17
10,港区,Minato-ku,高輪署,Takanawa F. Sta.,,1332,322,261,135,123,118,86,72,46,37,108,24,820,671,107,31,11
11,新宿区,Shinjuku-ku,四谷署,Yotsuya F. Sta.,,2054,431,415,248,198,197,212,172,79,27,75,0,1281,1084,163,32,2
