年度末,End of fiscal year,地域階層,地域コード,地域,District,浄水場数 Purification plants,給水所数 Distribution stations,営業所数 Service stations,配水管 Water pipes／総延長 Total length (m),配水管 Water pipes／配水本管 Water mains (m),配水管 Water pipes／配水小管 Service pipes (m),消火栓数 Fire hydrants,制水弁数 Hydraulic control valves,空気弁数 Air relief valves,排水弁数 Drainage valves
平成25,2013,0,13000,総数,Tokyo-to,11,58,33,26613015,2401441,24211574,132315,380580,15823,10852
平成26,2014,0,13000,総数,Tokyo-to,11,58,33,26774392,2428895,24345497,132616,385832,15910,10886
平成27,2015,0,13000,総数,Tokyo-to,11,58,33,26915097,2453386,24461711,132833,391026,15962,11073
平成28,2016,0,13000,総数,Tokyo-to,11,58,33,27038163,2476659,24561504,132993,396081,16034,11197
平成29,2017,0,13000,総数,Tokyo-to,11,58,33,27124951,2494219,24630733,133052,396584,16120,11326
平成29,2017,1,13100,区部,All ku,5,23,21,16614457,1688983,14925474,90564,255524,9397,7562
平成29,2017,5,13101,千代田区,Chiyoda-ku,0, - ,1,289859,46779,243081,1554,4169,317,216
平成29,2017,5,13102,中央区,Chuo-ku,0,1,0,316582,39590,276992,1845,5912,343,383
平成29,2017,5,13103,港区,Minato-ku,0,1,1,432788,66267,366522,2592,6532,384,335
平成29,2017,5,13104,新宿区,Shinjuku-ku,0,1,1,553334,66024,487310,3675,7975,330,273
平成29,2017,5,13105,文京区,Bunkyo-ku,0,1,1,320107,40927,279180,1933,4887,260,207
平成29,2017,5,13106,台東区,Taito-ku,0,0,0,413258,33998,379260,2409,7425,233,211
平成29,2017,5,13107,墨田区,Sumida-ku,0,0,1,506763,56434,450328,2866,8451,375,318
平成29,2017,5,13108,江東区,Koto-ku,0,4,1,755194,106924,648271,3787,10530,688,576
平成29,2017,5,13109,品川区,Shinagawa-ku,0,0,1,589382,58335,531047,2867,8667,332,349
平成29,2017,5,13110,目黒区,Meguro-ku,0,1,1,451643,38159,413485,2428,7495,186,211
平成29,2017,5,13111,大田区,Ota-ku,0,2,1,1180652,115048,1065603,6240,19439,679,684
平成29,2017,5,13112,世田谷区,Setagaya-ku,2,3,1,1641439,167684,1473755,9074,24043,820,704
平成29,2017,5,13113,渋谷区,Shibuya-ku,0,0,1,399293,39253,360040,2286,6645,208,144
平成29,2017,5,13114,中野区,Nakano-ku,0,0,1,554929,48983,505947,2786,8471,302,181
平成29,2017,5,13115,杉並区,Suginami-ku,1,1,1,1089844,112168,977675,5487,15050,579,364
平成29,2017,5,13116,豊島区,Toshima-ku,0,0,1,475666,45560,430106,2502,7755,244,239
平成29,2017,5,13117,北区,Kita-ku,0,0,1,562814,51506,511308,3001,8514,302,235
平成29,2017,5,13118,荒川区,Arakawa-ku,0,1,1,328099,28813,299286,2082,5912,195,97
平成29,2017,5,13119,板橋区,Itabashi-ku,1,2,1,854210,97113,757097,4983,12809,462,323
平成29,2017,5,13120,練馬区,Nerima-ku,0,1,1,1303805,106848,1196957,7313,18887,476,339
平成29,2017,5,13121,足立区,Adachi-ku,0,1,1,1419232,123983,1295249,7349,21348,595,426
平成29,2017,5,13122,葛飾区,Katsushika-ku,1,1,1,935670,102583,833088,4801,14241,543,331
平成29,2017,5,13123,江戸川区,Edogawa-ku,0,2,1,1239894,96005,1143889,6704,20367,544,416
平成29,2017,1,,市郡部,shi and gun,3,35,12,10499672,794532,9705140,42487,141043,6694,3744
平成29,2017,5,13201,八王子市,Hachioji-shi,0,14,1,1639634,108390,1531244,6132,22072,1056,466
平成29,2017,5,13202,立川市,Tachikawa-shi,0,0,1,411409,35628,375781,2050,5576,189,115
平成29,2017,5,13204,三鷹市,Mitaka-shi,0,0,0,358860,21264,337595,1654,5379,92,62
平成29,2017,5,13205,青梅市,Ome-shi,0,3,1,594134,30822,563312,3563,7278,560,184
平成29,2017,5,13206,府中市,Fuchu-shi,0,0,1,596412,53027,543385,3033,8590,214,208
平成29,2017,5,13208,調布市,Chofu-shi,0,1,1,423783,19275,404508,1874,7002,137,62
平成29,2017,5,13209,町田市,Machida-shi,0,1,1,1301234,145874,1155360,3903,15955,912,527
平成29,2017,5,13210,小金井市,Koganei-shi,0,0,0,237970,16425,221545,1150,3225,98,109
平成29,2017,5,13211,小平市,Kodaira-shi,0,0,1,416742,29494,387248,1502,4938,175,86
平成29,2017,5,13212,日野市,Hino-shi,0,2,1,523082,33852,489230,1923,7758,333,182
