年度,Fiscal Year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self Employed,就職状況 Placement／就職率 Employment Rate (%)
平成28,2016,総数,All Courses,4009,3473,2598,65,76.7
令和29,2017,総数,All Courses,4042,3424,2572,47,76.5
令和2,2020,メカトロニクス,Mechatronics(2years),36,26,23,-,88.5
令和2,2020,自動車整備工学,Automobilemechanics(2years),57,44,43,1,100
令和2,2020,機械加工,Machining(2years),12,13,13,-,100
令和2,2020,自動車車体整備,Automobilebodyrepair(2years),12,9,9,-,100
令和2,2020,エンジニア養成,Engineering(2years),8,10,10,-,100
令和2,2020,精密加工,Precisionmachining,15,16,16,-,100
令和2,2020,木工技術,Woodworking,58,42,38,2,95.2
令和2,2020,インテリアサービス,1nteriordecoration,23,14,13,-,92.9
令和2,2020,電気工事,Electricalwiring,75,66,66,-,100
令和2,2020,コンピュータ制御システム,Embeddedcomputersystemdevelopment,12,6,2,-,33.3
令和2,2020,電気設備技術,Electricalwork,16,8,7,-,87.5
令和2,2020,計測制御システム,Measurementcontrolsystems,4,4,3,-,75
令和2,2020,環境分析,Environmentalanalysis,16,12,11,-,91.7
令和2,2020,自動車塗装,Automobilebodypainting,17,14,14,-,100
令和2,2020,パソコングラフィック,Computergraphics,30,23,21,-,91.3
令和2,2020,ＯＡシステム開発,OAsystemdevelopment,58,48,39,-,81.3
令和2,2020,ネットワークプログラミング,Networkprogramming,29,19,19,-,100
令和2,2020,金型加工,Dieandmoldmachining,7,7,4,-,57.1
令和2,2020,３ＤＣＡＤ・ＣＡＭ,3DCAD/CAM,30,21,18,-,85.7
令和2,2020,機械組立技術,Machineassembly,4,3,3,-,100
令和2,2020,建築設備,Buildingequipmentinstallation,20,13,13,-,100
令和2,2020,広告美術,Advertisingart,21,15,11,-,73.3
令和2,2020,サイン・ディスプレイ,Signsanddisplays,27,18,17,-,94.4
令和2,2020,測量設計,Surveying,10,9,7,-,77.8
令和2,2020,環境空調サービス,Airconditioningservices,24,16,15,-,93.8
令和2,2020,和装技術,Kimono-making,30,24,18,2,83.3
