年次,Year,地域階層,地域コード,項番 Item number,地域,District,木造家屋 Wooden buildings／総数 Total／棟数 Number,木造家屋 Wooden buildings／総数 Total／床面積 Floor space (m2)　,木造家屋 Wooden buildings／専用住宅 Exclusive dwellings／棟数 Number,木造家屋 Wooden buildings／専用住宅 Exclusive dwellings／床面積 Floor space  (m2),木造家屋 Wooden buildings／併用住宅 Multi-use dwellings／棟数 Number,木造家屋 Wooden buildings／併用住宅 Multi-use dwellings／床面積 Floor space (m2),木造家屋 Wooden buildings／アパート Apartment houses／棟数 Number,木造家屋 Wooden buildings／アパート Apartment houses／床面積 Floor space (m2),木造家屋 Wooden buildings／その他 Others／棟数 Number,木造家屋 Wooden buildings／その他 Others／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／総数 Total／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／総数 Total／床面積 Floor space (m2),"種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店，銀行 Offices， stores， department stores, ｂanks 1)／棟数 Number","種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店，銀行 Offices， stores， department stores, ｂanks ／床面積 Floor space (m2)","種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店，銀行 Offices， stores， department stores, ｂanks 1)／うち銀行 Of which bａｎｋｓ／棟数 Number","種類別非木造家屋 Non-wooden buildings by type／事務所，店舗，百貨店，銀行 Offices， stores， department stores, ｂanks 1)／うち銀行 Of which bａｎｋｓ／床面積 Floor space (m2)",種類別非木造家屋 Non-wooden buildings by type／住宅，アパート Houses， apartment houses／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／住宅，アパート Houses， apartment houses／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／病院，ホテルHospitals， hotels／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／病院，ホテルHospitals， hotels／床面積 Floor space (m2),種類別非木造家屋 Non-wooden buildings by type／工場，倉庫，市場 Factories， storehouses， markets／棟数 Number,種類別非木造家屋 Non-wooden buildings by type／工場，倉庫，市場 Factories， storehouses， markets／床面積 Floor space (m2),"種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters, places of amusement, etc. ／棟数 Number","種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters, places of amusement, etc.／床面積 Floor space (m2)","種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters, places of amusement, etc. ／うち劇場，娯楽場等　Of which Theaters and places of amusement／棟数 Number","種類別非木造家屋 Non-wooden buildings by type／劇場，娯楽場等，その他 Theaters, places of amusement, etc.／うち劇場，娯楽場等　Of which Theaters and places of amusement／床面積 Floor space (m2)",構造別非木造家屋 Non-wooden buildings by structure／鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄筋コンクリート造 Reinforced concrete／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄筋コンクリート造 Reinforced concrete／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／鉄骨造 Steel-frame／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／鉄骨造 Steel-frame／床面積 Floor space (m2) ,構造別非木造家屋 Non-wooden buildings by structure／軽量鉄骨造 Light gauge steel／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／軽量鉄骨造 Light gauge steel／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／れんが造，コンクリートブロック造等 Brick， concrete-block， etc.／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／れんが造，コンクリートブロック造等 Brick， concrete-block， etc.／床面積 Floor space (m2),構造別非木造家屋 Non-wooden buildings by structure／その他 Others／棟数 Number,構造別非木造家屋 Non-wooden buildings by structure／その他 Others／床面積 Floor space (m2)
平成26,2014,0,13000,,東京都,Tokyo-to,1922003,195616121,1533279,146747743,100278,15049214,187149,27911084,101297,5908080,819797,477175413,81687,130883245,630883,290618285,4296,10685201,74615,41692135,28316,3296546,…,…,30018,138265408,286931,201339949,269482,106953971,209674,29433513,23153,1165369,539,17204,518,17008
平成27,2015,0,13000,,東京都,Tokyo-to,1928585,196895789,1550077,148917515,98010,14790439,185777,27901685,94721,5286150,820605,482410153,80947,131806002,634884,294845738,4276,10825473,73573,41733091,26925,3199849,…,…,29812,138232511,286188,204857757,269846,108225233,211888,29939509,22467,1138082,404,17061,539,17204
平成28,2016,0,13000,,東京都,Tokyo-to,1935288,197954571,1562734,150416929,94463,14312751,184926,27957552,93165,5267339,825315,487422635,80913,132685043,639546,299241196,4295,10951354,73789,41330064,26772,3214978,…,…,29677,138323038,287904,208165678,270819,109401602,214539,30409645,21967,1105674,409,16998,404,17061
平成29,2017,0,13000,,東京都,Tokyo-to,1968857,199073634,1564793,151818895,131441,13940323,178994,28137928,93629,5176488,832099,492564127,83516,135190918,628832,302559918,4400,11144058,85896,39541757,29455,4127476,…,…,30486,137481511,286446,211957144,274762,111171985,218903,30859032,21092,1077039,410,17416,409,16998
平成30,2018,0,13000,,東京都,Tokyo-to,1974732,200149088,1575568,153120633,127728,13553734,179265,28365365,92171,5109356,838814,497263430,83511,135830855,636145,306151509,4491,11463612,85368,39692273,29299,4125181,…,…,30317,137703188,289284,214798561,277347,112477298,220822,31221949,20653,1049087,391,13347,410,17416
平成30,2018,1,13100,,区部,All ku,1141319,115242197,866797,81777334,101152,10490947,135962,20448039,37408,2525877,608966,393332899,59474,115227167,485076,241236813,3051,9003879,52600,26208935,8765,1656105,103,529075,27353,124270615,223717,165393431,223808,85215236,122603,17913867,11485,539750,-,-,-,-
平成30,2018,2,13101,1,千代田区,Chiyoda-ku,1660,143683,535,44098,562,50123,13,1704,550,47758,9817,23661993,5198,18435191,3958,3940122,102,974501,521,283604,38,28575,6,24432,2477,14119626,4007,4352507,2958,5156102,239,24010,136,9748,-,-,-,-
平成30,2018,2,13102,2,中央区,Chuo-ku,4418,342186,2360,162029,1485,121057,104,10299,469,48801,11664,22237030,5609,13919325,5429,7092510,140,517389,474,680391,12,27415,1,3548,2913,11974211,4186,6455588,4184,3762704,284,35474,97,9053,-,-,-,-
平成30,2018,2,13103,3,港区,Minato-ku,8164,858520,5706,581934,1040,108687,750,113851,668,54048,18082,36737608,5242,19808479,11515,14426399,175,1543505,1066,877224,84,82001,9,63957,2939,18609935,9504,12081944,4359,5873797,1018,150144,262,21788,-,-,-,-
平成30,2018,2,13104,4,新宿区,Shinjuku-ku,26200,2670827,18117,1710746,2502,256773,4643,635034,938,68274,25134,23124025,4054,9539108,19395,12084087,278,963719,1209,488396,198,48715,6,25041,2162,10487414,12710,9436700,6948,2751711,2910,418198,404,30002,-,-,-,-
平成30,2018,2,13105,5,文京区,Bunkyo-ku,19684,2015557,15001,1473679,2171,218746,2018,283029,494,40103,16440,10600355,1408,2554385,14130,7405988,63,259650,719,256606,120,123726,4,114957,1251,4085077,7173,4574571,5731,1630584,2013,292961,272,17162,-,-,-,-
平成30,2018,2,13106,6,台東区,Taito-ku,17195,1529651,8925,720522,6280,590046,808,106601,1182,112482,21857,12146898,3147,3568076,17221,7743163,357,499332,1086,328543,46,7784,8,3666,1748,3786591,6995,4976685,11647,3221938,1140,131235,327,30449,-,-,-,-
平成30,2018,2,13107,7,墨田区,Sumida-ku,26536,2270017,17604,1378341,6030,579358,1453,182142,1449,130176,21580,11497250,1452,2050840,17731,8313987,97,190763,2240,892931,60,48729,2,37257,985,3182431,4820,4316633,12842,3635715,2642,345990,291,16481,-,-,-,-
