年次及び種類,Year and kind,月末,End of month,製造工業 Manufacturing,製造工業 Manufacturing／鉄鋼業 Iron and steel,製造工業 Manufacturing／非鉄金属工業 Non-ferrous metals,製造工業 Manufacturing／金属製品工業 Fabricated metals,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／汎用機械工業 General-purpose machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／生産用機械工業 Production machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／業務用機械工業 Business use machinery,製造工業 Manufacturing／電子部品・デバイス工業 Electronic parts and devices,製造工業 Manufacturing／電気機械工業 Electrical machinery,製造工業 Manufacturing／情報通信機械工業 Information and communications equipment,製造工業 Manufacturing／輸送機械工業 Transport equipment,製造工業 Manufacturing／窯業・土石製品工業 Ceramics， stone and clay products,製造工業 Manufacturing／化学工業 Chemicals,製造工業 Manufacturing／プラスチック製品工業 Plastic products,製造工業 Manufacturing／紙・紙加工品工業 Paper and paper products,製造工業 Manufacturing／繊維工業 Textiles,製造工業 Manufacturing／食料品工業 Foods,製造工業 Manufacturing／その他工業 Other manufacturing,製造工業 Manufacturing／その他工業 Other manufacturing／ゴム製品工業 Rubber products,製造工業 Manufacturing／その他工業 Other manufacturing／皮革製品工業 Leather products,製造工業 Manufacturing／その他工業 Other manufacturing／家具工業 Furniture,製造工業 Manufacturing／その他工業 Other manufacturing／木材・木製品工業 Wood and wood products,製造工業 Manufacturing／その他工業 Other manufacturing／その他製品工業 Other products
品目数,Items,,,85,9,5,5,10,3,2,5,2,2,2,5,10,10,4,3,2,2,14,3,3,1,4,3
ウェイト,Weight,,,10000,254.2,296.6,462.7,2258,196.6,709.6,1351.8,308.2,677.1,1211.4,1384.9,322.3,656.1,484.1,135.7,178.7,133.6,1236.4,443.7,255.8,111,30,395.9
平成25,2013,,,120,83.5,131.3,46.3,121.3,86.6,132.3,120.5,89.6,89.2,185.8,189.8,82.7,105.3,72.9,89.4,174.5,58,70.3,17.5,72.5,84.2,95.7,122.3
平成26,2014,,,119.1,80.4,143,47.9,136,23.5,236.9,99.4,32.8,66,182.4,240.9,78,89.2,58.1,82.4,59.1,72.3,37.5,13.1,53.8,98.7,79,33.8
平成27,2015,,,116,90.8,143.8,28.5,220.3,32.4,424.1,140.7,12.2,51.2,49.4,238.7,83.6,44.4,22.1,82.5,88.3,69.4,41.9,31.8,49.5,90.4,83.6,31.6
平成28,2016,,,123.1,89.7,149.4,42.3,227,30.4,482.6,121.5,3.1,46.4,50.5,280.5,89,34.8,21.4,74.6,77.2,74.7,43.9,28.1,52.9,92.5,72.3,40
平成29,2017,,,117,80.4,146.5,39.2,218,57.6,481.2,103.2,3.2,13.2,46.9,277.4,93.1,27.9,22.4,81.2,91.2,64.6,40.2,17.5,58,103.3,51.9,35.7
平成29,2017,1,Jan.,118.1,87.3,150.5,49.6,199.1,38.5,403.8,114.6,2.7,46.5,44.4,289.5,87.8,35.1,21,70.5,86,97.5,43.1,29.5,50.4,82.6,59.3,38.3
平成29,2017,2,Feb.,116.2,87.1,148.1,49.1,189.8,43.9,382.4,113,2.7,45.8,44.1,304.8,86.1,31.6,21,78.3,88.8,108.3,40.2,26,50.1,78.9,58.7,37.6
平成29,2017,3,Mar.,116.6,87.6,149.5,49.2,178.8,40.4,333.5,113.1,3.5,48.8,46.6,302.5,87.3,33.8,21.9,81.4,94.2,116,39,26.3,53,72.2,51.3,36.3
