年度,Fiscal year,系統,Line,旅客営業キロ Passenger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成25,2013,総数,Total,185.1,172,18693047,11808378,6884669
平成26,2014,総数,Total,185.1,172,18970658,11975295,6995363
平成27,2015,総数,Total,185.1,172,19649068,12372674,7276394
平成28,2016,総数,Total,185.1,172,20077008,12651607,7425401
平成29,2017,総数,Total,185.1,172,20581105,12981596,7599509
平成29,2017,銀座線,Ginza Line,14.3,19,1467593,717758,749835
平成29,2017,丸ノ内線,Marunouchi Line,27.4,28,2436976,1428231,1008745
平成29,2017,日比谷線,Hibiya Line,20.3,21,2350410,1404190,946220
平成29,2017,東西線,Tozai Line,22.2,17,3619249,2446280,1172969
平成29,2017,千代田線,Chiyoda Line,24,20,3291686,2233083,1058603
平成29,2017,有楽町線,Yurakucho Line,26.9,23,2938084,1959112,978972
平成29,2017,半蔵門線,Hanzomon Line,16.8,14,1981619,1174910,806709
平成29,2017,南北線 ,Namboku Line,21.3,19,1251906,835516,416390
平成29,2017,副都心線,Fukutoshin Line,11.9,11,1243582,782516,461066
,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 4　運輸 4　TRANSPORT ,,,,,,,,
4-14  地下鉄の運輸成績 (1)  東京地下鉄株式会社 (平成25～29年度）4-14 OPERATIONS OF SUBWAYS  (1)  TOKYO METRO CO.， LTD. ( Fiscal Years 2013-2017 ),,,,,,,,
資料：東京地下鉄株式会社鉄道本部営業部審査課 Source: Tokyo Metro Co.， Ltd.　,,,,,,,,
