地域階層,地域コード,項番 Item number,地域,District,登録自動車 Motor vehicles registered／総数 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／計 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／普通車 Ordinary,登録自動車 Motor vehicles registered／貨物自動車 Trucks／小型車 Small,登録自動車 Motor vehicles registered／貨物自動車 Trucks／被けん引車 Trailers,登録自動車 Motor vehicles registered／乗用車 Passenger cars／計 Total,登録自動車 Motor vehicles registered／乗用車 Passenger cars／普通車 Ordinary,登録自動車 Motor vehicles registered／乗用車 Passenger cars／小型車 Small,登録自動車 Motor vehicles registered／乗合自動車 Buses,登録自動車 Motor vehicles registered／特種用途車 Special use motor vehicles,登録自動車 Motor vehicles registered／大型特殊車 Heavy special type motor vehicles,1)小型二輪車（検査） Light two-wheeled motor vehicles ( Inspected ),2)課税登録台数軽自動車(四輪車) Light four-wheeled motor vehicles registered,有料駐車場 Pay parking lots／駐車場数 Quantity,有料駐車場 Pay parking lots／収容台数 Capacity,,
0,13000,,総数,Tokyo-to,3146686,383557,124639,250303,8615,2654110,1528622,1125488,16272,78966,13781,169673,723473,1612,277575,,
1,13100,,区部,All ku,1963971,276466,88615,179989,7862,1616920,999500,617420,10413,51092,9080,113192,310990,1243,199282,,
5,13101,1,千代田区,Chiyoda-ku,31500,4363,415,3944,4,26367,17896,8471,67,640,63,958,2912,175,20108,,
5,13102,2,中央区,Chuo-ku,42318,6501,908,5543,50,34467,24010,10457,81,992,277,1741,4022,128,16013,,
5,13103,3,港区,Minato-ku,77084,8344,1836,6114,394,66626,52172,14454,296,1227,591,3497,5153,170,23351,,
5,13104,4,新宿区,Shinjuku-ku,52774,6555,1148,5399,8,44613,28645,15968,190,1381,35,3708,8188,92,15207,,
5,13105,5,文京区,Bunkyo-ku,32101,3734,541,3192,1,27905,18487,9418,24,430,8,2040,4005,29,3085,,
5,13106,6,台東区,Taito-ku,33919,6702,855,5810,37,26522,15542,10980,43,606,46,1870,6228,45,4330,,
5,13107,7,墨田区,Sumida-ku,48765,9495,2366,7104,25,37606,21316,16290,165,1141,358,3362,8816,25,4624,,
5,13108,8,江東区,Koto-ku,112646,26885,11770,13192,1923,78036,47977,30059,801,5195,1729,5245,13085,108,27663,,
5,13109,9,品川区,Shinagawa-ku,70786,11551,2857,6966,1728,56858,36516,20342,475,1590,312,4567,8887,61,10186,,
5,13110,10,目黒区,Meguro-ku,53853,3749,932,2790,27,48972,34848,14124,231,843,58,3604,5360,19,1538,,
5,13111,11,大田区,Ota-ku,158004,28672,10060,16254,2358,122349,75076,47273,1253,4747,983,9721,22323,43,19827,,
5,13112,12,世田谷区,Setagaya-ku,193636,13479,4031,9422,26,175676,120263,55413,761,3357,363,12818,22883,34,4990,,
5,13113,13,渋谷区,Shibuya-ku,51300,4080,620,3440,20,46317,34388,11929,158,704,41,3432,5095,77,9179,,
5,13114,14,中野区,Nakano-ku,45853,4520,851,3661,8,40200,24688,15512,255,824,54,4186,8077,15,1577,,
5,13115,15,杉並区,Suginami-ku,96935,7495,2010,5476,9,87036,54348,32688,478,1812,114,6195,14244,9,861,,
5,13116,16,豊島区,Toshima-ku,42062,5109,779,4323,7,35881,22066,13815,257,807,8,2999,6837,48,7107,,
5,13117,17,北区,Kita-ku,53277,6618,1539,5074,5,45161,24818,20343,389,1032,77,3672,9403,11,1517,,
5,13118,18,荒川区,Arakawa-ku,34774,6086,1594,4429,63,27489,15715,11774,113,896,190,1879,6365,9,887,,
5,13119,19,板橋区,Itabashi-ku,109650,16513,5894,10592,27,89650,50760,38890,480,2773,234,6657,19921,33,6259,,
5,13120,20,練馬区,Nerima-ku,159662,16731,5110,11587,34,138316,80014,58302,827,3577,211,8626,30926,27,6478,,
5,13121,21,足立区,Adachi-ku,185181,33329,13705,19473,151,142464,77646,64818,1362,7115,911,8663,43736,38,7166,,
5,13122,22,葛飾区,Katsushika-ku,104236,14440,4817,9515,108,85508,46576,38932,605,2931,752,5447,22027,25,4339,,
5,13123,23,江戸川区,Edogawa-ku,173655,31515,13977,16689,849,132901,75733,57168,1102,6472,1665,8305,32497,22,2990,,
2,13200,,市部,All shi,1145467,98745,32143,66092,510,1012434,518314,494120,5432,25530,3326,54894,379363,369,78293,,
5,13201,1,八王子市,Hachioji-shi,177493,17567,6459,10965,143,153413,77114,76299,1204,4739,570,8942,68551,72,17115,,
5,13202,2,立川市,Tachikawa-shi,54126,5692,1470,4213,9,46384,22907,23477,246,1636,168,2519,19345,41,14742,,
5,13203,3,武蔵野市,Musashino-shi,27342,1535,319,1216,-,24914,14845,10069,349,478,66,1240,4505,25,2805,,
5,13204,4,三鷹市,Mitaka-shi,41619,3376,970,2395,11,37347,20976,16371,67,743,86,2359,8445,7,841,,
5,13205,5,青梅市,Ome-shi,47433,4406,1626,2692,88,41579,19631,21948,200,1032,216,2465,27644,7,1390,,
5,13206,6,府中市,Fuchu-shi,65537,6490,2267,4202,21,56885,29885,27000,269,1681,212,3176,16919,16,3952,,
5,13207,7,昭島市,Akishima-shi,33489,3223,1243,1967,13,29187,14249,14938,152,780,147,1509,12383,10,1461,,
5,13208,8,調布市,Chofu-shi,52485,4585,1420,3162,3,46362,25957,20405,288,1087,163,2534,10872,41,7034,,
5,13209,9,町田市,Machida-shi,128929,9107,2739,6344,24,116707,60287,56420,750,2118,247,5384,40869,35,7432,,
5,13210,10,小金井市,Koganei-shi,24863,1308,296,1011,1,23043,12339,10704,73,379,60,1259,5357,7,1017,,
5,13211,11,小平市,Kodaira-shi,48961,3767,1127,2635,5,43772,22383,21389,187,1049,186,2328,13134,2,96,,
5,13212,12,日野市,Hino-shi,49826,3048,836,2208,4,45189,22816,22373,194,1266,129,2463,14725,13,2440,,
5,13213,13,東村山市,Higashimurayama-shi,39880,3370,1100,2263,7,35367,17104,18263,124,930,89,1861,13323,5,868,,
5,13214,14,国分寺市,Kokubunji-shi,27755,1574,277,1296,1,25627,13519,12108,84,410,60,1301,6257,5,1023,,
5,13215,15,国立市,Kunitachi-shi,19804,2567,1190,1356,21,16496,9276,7220,36,615,90,803,4476,6,391,,
5,13218,16,福生市,Fussa-shi,25878,1660,463,1193,4,23649,10233,13416,88,400,81,1289,9296,12,1840,,
5,13219,17,狛江市,Komae-shi,17279,1617,412,1204,1,15190,8363,6827,145,298,29,985,3707,3,302,,
5,13220,18,東大和市,Higashiyamato-shi,26127,2366,662,1700,4,23092,11226,11866,54,553,62,1315,10575,2,119,,
5,13221,19,清瀬市,Kiyose-shi,18488,1335,261,1072,2,16737,8074,8663,91,284,41,868,6688,5,466,,
5,13222,20,東久留米市,Higashikurume-shi,31701,3172,929,2225,18,27492,13602,13890,193,772,72,1390,9896,3,164,,
5,13223,21,武蔵村山市,Musashimurayama-shi,27657,4506,1963,2485,58,21769,10678,11091,69,1234,79,1398,14811,1,257,,
5,13224,22,多摩市,Tama-shi,39584,2316,717,1596,3,36173,18682,17491,251,815,29,1851,10392,22,7148,,
5,13225,23,稲城市,Inagi-shi,25326,2197,746,1443,8,22499,12061,10438,58,534,38,1058,6384,11,2259,,
5,13227,24,羽村市,Hamura-shi,19407,1818,706,1095,17,17093,8311,8782,43,351,102,842,9568,2,185,,
5,13228,25,あきる野市,Akiruno-shi,28651,2884,1124,1748,12,24829,11787,13042,115,632,191,1579,20816,7,2147,,
