年度,Fiscal year,営業キロ Length of line(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets,使用車両数 Vehicles used,走行キロ数 Distance traveled(km),輸送人員 Passengers,旅客運賃収入 Passenger fare revenue(千円 1000yen),使用電力量 Electric power used (kWh)
平成25,2013,9.7,13,133983,92697,41286,21670,5975594,24367806,4506370,5090115
平成26,2014,9.7,13,140992,98219,42773,22524,7100358,25777911,4834714,5759273
平成27,2015,9.7,13,151600,106506,45094,24150,7471449,27731116,5237064,6078203
平成28,2016,9.7,13,159502,113147,46355,25415,7730764,29207136,5500363,6284444
平成29,2017,9.7,13,171302,123471,47831,26455,7756455,31392076,5900405,6371127
,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,
4-10  都営日暮里・舎人ライナーの運輸成績 (平成25～29年度) 4-10 OPERATIONS OF TOEI NIPPORI-TONERI LINER( Fiscal Years 2013-2017 ),,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,
