地域階層,国名,Country,マーク Mark,総数 Total／輸出 Exports,総数 Total／輸入 Imports,海上 By sea／輸出 Exports,海上 By sea／輸入 Imports,航空 By air／輸出 Exports,航空 By air／輸入 Imports
0,総額,Total,,17488837,24798603,5862127,11701087,11626709,13097516
1,アジア,Asia,,10349757,14154290,3156097,7954160,7193660,6200129
2,大韓民国,Republic of Korea,,1098313,842456,309062,547263,789252,295193
2,中華人民共和国,China,,3013570,7752092,1162908,4506195,1850662,3245897
2,台湾,Taiwan,,1220095,1328133,273107,537828,946988,790304
2,香港,Hong Kong,,1683550,120244,322510,31523,1361040,88721
2,ベトナム,Vietnam,,313181,814319,139622,567250,173559,247069
2,タイ,Thailand,,769768,939211,293807,529241,475961,409970
2,シンガポール,Singapore,,1161767,542450,168175,142668,993592,399782
2,マレーシア,Malaysia,,366978,744679,125579,396856,241399,347823
2,フィリピン,Philippines,※,282893,387791,116528,217846,166365,169945
2,インドネシア,Indonesia,※,213808,297029,134801,244052,79007,52976
2,カンボジア,Cambodia,※,3754,67345,2294,57597,1460,9747
2,ミャンマー,Myanmar,※,6416,47593,5011,39269,1404,8324
2,インド,India,※,161708,164491,76618,69993,85090,94498
2,パキスタン,Pakistan,※,12729,4529,12729,4529,-,-
2,バングラデシュ,Bangladesh,※,7588,60897,3104,48142,4484,12755
1,中東,Middle East,,192278,100022,79479,27359,112799,72663
2,サウジアラビア,Saudi Arabia,※,18431,2813,9455,2776,8977,37
2,イスラエル,Israel,※,90472,81549,32647,15403,57825,66146
2,アラブ首長国連邦,United Arab Emirates,※,55137,8185,26503,4354,28635,3831
1,西欧,Western Europe,,2577301,4763044,792419,1461853,1784882,3301191
2,ノルウェー,Norway,※,8086,65512,2296,35225,5790,30286
2,スウェーデン,Sweden,※,21292,83996,8876,31354,12416,52642
2,デンマーク,Denmark,※,14505,135187,8020,63719,6486,71469
2,英国,Britain,,495081,394103,127310,103988,367771,290115
2,アイルランド,Ireland,※,29523,417355,5294,21670,24229,395685
2,オランダ,Netherlands,※,388683,117862,189542,49414,199141,68448
2,ベルギー,Belgium,※,100825,104709,44114,31083,56711,73626
2,ルクセンブルク,Luxembourg,※,52344,1566,52344,1566,-,-
2,フランス,France,,166272,674100,67795,245927,98477,428174
2,ドイツ,Germany,,646390,1054847,197179,316334,449210,738513
2,スイス,Switzerland,※,443447,615328,15504,155357,427943,459972
2,ポルトガル,Portugal,※,4548,8859,-,-,4548,8859
2,スペイン,Spain,※,31921,169990,14473,79864,17448,90126
