No,観測地点 1),Location of observatory 1),水準基標番号 Bench mark number,測量開始年,Year of start of measurement,平成15年 2003,平成16年 2004,平成17年 2005,平成18年 2006,平成19年 2007,平成20年 2008,平成21年 2009,平成22年 2010,平成23年 2011,平成24年 2012,平成25年 2013,平成26年 2014,平成27年 2015,平成28年 2016,平成29年 2017,(参考) 測量開始年からの変動量累計 (単位 ｍ) (Reference) Accumulated total since the beginning of observation (in meters) 5) 
1,港区 芝,Shiba， Minato-ku,芝(6),昭和5,1930,0.21,-0.15,-0.19,0.39,-0.44,0.09,0.10,-0.35,2),0.19,-0.03,0.09,-0.08,0.34,-0.40,-0.0632
2,新宿区 市谷田町,Ichigayatamachi， Shinjuku-ku,牛(4),昭和5,1930,0.04,-0.33,-0.12,0.15,-0.39,0.06,0.21,-0.57,2),-0.01,-0.46,-0.05,0.04,0.14,0.02,-0.1564
3,文京区 本郷,Hongo， Bunkyo-ku,郷(2),昭和5,1930,0.41,-0.40,0.03,0.47,-0.80,0.25,0.03,-0.82,2),-0.25,-0.17,-0.19,0.13,0.27,-0.35,-0.1607
4,墨田区 八広,Yahiro， Sumida-ku,向(3),昭和8,1933,0.42,0.20,0.38,0.69,-0.40,0.23,0.24,-0.22,2),0.27,0.00,0.14,-0.02,0.09,-0.25,-1.7418
5,江東区 南砂,Minamisuna， Koto-ku,9832,大正7,1918,1.02,0.02,0.34,0.92,-0.27,0.28,0.32,-0.16,2),0.20,0.03,0.36,-0.53,0.44,-0.05,-4.5107
6,大田区 本羽田,Honhaneda， Ota-ku,蒲(5),昭和19,1944,-0.06,-0.38,0.42,-0.03,-0.65,0.38,0.01,0.45,2),0.25,-0.25,0.18,0.40,-0.12,0.03,-0.0399
7,世田谷区 千歳台,Chitosedai， Setagaya-ku,世(8),昭和47,1972,-0.25,0.36,-0.45,0.00,-0.45,0.22,0.26,-0.52,2),0.48,-0.28,0.27,0.05,0.04,0.18,-0.0408
8,板橋区 新河岸,Shingashi， Itabashi-ku,板(7),昭和33,1958,0.55,-0.28,-0.29,0.43,-0.55,0.46,0.12,-0.72,2),-0.02,0.06,-0.07,0.17,-0.32,0.10,-1.2398
9,練馬区 高松,Takamatsu， Nerima-ku,練(15),昭和44,1969,0.48,-0.07,-0.20,0.15,-0.40,0.56,-0.02,-0.81,2),0.28,0.23,-0.01,0.07,0.15,0.26,-0.3330
10,足立区 千住大川町,Senjuokawa-cho， Adachi-ku,足(18),昭和37,1962,0.76,-0.31,0.46,0.52,-0.36,0.38,-0.45,0.00,2),-0.08,0.40,0.00,0.04,0.13,-0.15,-0.7368
11,足立区 谷在家,Yazaike， Adachi-ku,足(7),昭和8,1933,0.46,-0.42,0.40,0.05,-0.53,0.44,-0.06,-0.67,2),-0.15,0.21,0.16,0.11,-0.44,0.20,-0.9114
12,葛飾区 高砂,Takasago， Katsushika-ku,葛(4),昭和8,1933,0.44,-0.09,0.28,0.51,-0.62,0.43,-0.33,-0.38,2),-0.09,0.10,0.24,-0.11,-0.37,0.36,-0.6640
13,江戸川区 中葛西,Nakakasai， Edogawa-ku,9836,大正7,1918,0.47,0.03,0.32,0.71,-0.41,0.47,0.07,-0.07,2),0.50,0.46,-0.41,…,0.25,-0.12,-2.3735
14,江戸川区 船堀,Funabori， Edogawa-ku,9835,大正7,1918,0.41,-0.07,0.56,0.71,-0.22,0.40,0.28,-0.17,2),0.43,0.36,0.08,-0.30,0.49,-0.30,-2.9693
15,八王子市 小宮町,Komiya-machi， Hachioji-shi,八王(1),昭和50,1975,-0.31,0.08,0.10,-0.02,0.07,0.24,0.22,-0.36,2),0.58,-0.24,0.23,0.13,0.68,0.02,0.0254
16,三鷹市 大沢,Osawa， Mitaka-shi,三鷹(4),昭和47,1972,-0.36,-0.37,0.40,-0.56,-0.03,0.46,-0.41,-0.62,2),0.20,-0.12,0.62,-0.10,0.41,0.49,-0.1686
17,清瀬市 旭が丘,Asahigaoka， Kiyose-shi,清瀬(1),昭和48,1973,-0.34,-0.44,-0.99,0.37,0.06,0.34,-0.56,-0.75,2),-0.11,-0.13,0.73,-1.31,-0.41,1.02,-0.7175
18,清瀬市 中里,Nakazato， Kiyose-shi,清瀬(3),昭和48,1973,-0.52,-0.17,-0.18,-0.23,-0.22,0.49,-0.28,-0.91,2),0.41,-0.25,0.84,-0.33,0.34,0.08,-0.6102
19,武蔵村山市 本町,Honmachi， Musashimurayama-shi,武村(2),昭和50,1975,-0.25,0.15,-0.59,-0.04,-0.17,0.75,0.10,-0.86,2),-0.13,0.32,0.02,0.25,0.60,-0.13,-0.0409
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,
19-12 地盤沈下量 (平成15～平成29年) 19-12  ANNUAL GROUND SUBSIDENCE ( 2003-2017 ),,,,,,,,,,,,,,,,,,,,,
負の値（－）は沈下，正の値は隆起を表わす。,,,,,,,,,,,,,,,,,,,,,
Negative numbers (-) indicate subsidence， positive numbers indicate uplift.,,,,,,,,,,,,,,,,,,,,,
注 1) 観測地点については，毎年観測が可能な地点を選択した。,,,,,,,,,,,,,,,,,,,,,
2) 平成23年は，東北地方太平洋沖地震の影響で地殻変動と地盤沈下の区別ができないため，地盤沈下量の算出ができない。  ,,,,,,,,,,,,,,,,,,,,,
3) 江戸川区中葛西については，平成27年は観測を休止し，平成28年から再開した。,,,,,,,,,,,,,,,,,,,,,
4) (参考）測量開始からの変動量累計には，大正12年関東大震災及び平成23年東北地方太平洋沖地震による変動を含む。,,,,,,,,,,,,,,,,,,,,,
Note: 1) The observation points selected are those where observations can be conducted every year.  ,,,,,,,,,,,,,,,,,,,,,
2) An annual ground subsidence for 2011 is not shown because land subsidence cannot be differentiated from crustal movements caused by the 2011 Tohoku earthquake. ,,,,,,,,,,,,,,,,,,,,,
3) For Nakakasai， measurement in 2015 was suspended and resumed in 2016.,,,,,,,,,,,,,,,,,,,,,
4) (Reference) Total change since measurement of data began include crustal movements caused by the Great Kanto Earthquake in 1923 and Tohoku Earthquake in 2011.,,,,,,,,,,,,,,,,,,,,,
資料: 都土木技術支援・人材育成センター Source: Civil Engineering Support and Training Center， TMG,,,,,,,,,,,,,,,,,,,,,
（単位　cm／年）(In centimeters/year),,,,,,,,,,,,,,,,,,,,,
