年次,Year,月次 ,Month,件数 Total,うち法人(業種別)  of which corporation (by industry)／計 Total,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／繊維品 Textile products,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／出版・印刷 Publishing and printing,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／金属製品 Metal products,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／機械 Machinary,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／その他 Others,件数 Total／うち法人(業種別)  of which corporation (by industry)／卸売 Wholesale,件数 Total／うち法人(業種別)  of which corporation (by industry)／小売 Retail,件数 Total／うち法人(業種別)  of which corporation (by industry)／建設 Construction,件数 Total／うち法人(業種別)  of which corporation (by industry)／サービス Services,件数 Total／うち法人(業種別)  of which corporation (by industry)／不動産 Real estate,件数 Total／うち法人(業種別)  of which corporation (by industry)／運輸・通信 Transportation & communications,件数 Total／うち法人(業種別)  of which corporation (by industry)／その他 Others,枚数 Number,金額 Value
平成25,2013,総数,Total,460,439,11,35,15,9,76,59,63,97,44,9,20,1,1115,2507145
平成26,2014,総数,Total,382,371,3,40,12,8,58,65,61,76,22,9,17,-,971,2054754
平成27,2015,総数,Total,318,303,3,16,21,9,54,62,31,40,14,7,15,31,740,5086292
平成28,2016,総数,Total,310,292,6,22,18,2,42,74,25,41,28,6,13,15,759,1485389
平成29,2017,総数,Total,229,211,3,12,5,3,41,45,22,28,26,6,3,17,458,757581
平成29,2017,1,Jan.,17,17,-,1,-,-,4,4,2,1,3,1,-,1,40,109162
平成29,2017,2,Feb.,25,21,-,2,1,-,3,2,2,5,2,2,1,1,36,124450
平成29,2017,3,Mar.,19,19,-,1,1,1,5,3,2,2,4,-,-,-,49,37859
平成29,2017,4,Apr.,26,21,-,1,-,-,4,5,3,4,1,-,-,3,61,49319
平成29,2017,5,May,20,18,1,1,1,1,4,3,-,4,2,1,-,-,51,130394
平成29,2017,6,June,19,18,-,1,-,-,7,4,1,2,2,-,-,1,37,54897
平成29,2017,7,July,21,18,1,-,2,-,1,5,2,4,1,-,-,2,28,54504
平成29,2017,8,Aug.,12,12,-,2,-,-,2,4,-,1,1,1,-,1,30,50550
平成29,2017,9,Sept.,16,14,-,1,-,-,1,3,4,1,4,-,-,-,36,42516
平成29,2017,10,Oct.,17,17,-,-,-,-,1,7,1,1,2,-,-,5,26,29858
平成29,2017,11,Nov.,23,23,1,2,-,1,4,3,4,-,3,-,2,3,36,29130
平成29,2017,12,Dec.,14,13,-,-,-,-,5,2,1,3,1,1,-,-,28,44942
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,
15-9  東京手形交換所扱い銀行取引停止処分数 (平成25～29年) 15-9  SUSPENSION OF TRANSACTIONS WITH THE TOKYO CLEARING HOUSE MEMBER BANKS ( 2013-2017 )  ,,,,,,,,,,,,,,,,,,,
資料：（一社）全国銀行協会 「決済統計年報」，「全国手形交換高・不渡手形実数・取引停止処分数調」 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,
（単位  金額  千円）(Value in thousands of yen),,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,
