年次,Year,月次 ,Month,総数 Total／輸出 Exports,総数 Total／輸入 Imports,海上 By sea／輸出 Exports,海上 By sea／輸入 Imports,航空 By air／輸出 Exports,航空 By air／輸入 Imports
平成25,2013,総数,Total,13531644,21500732,5473748,10039199,8057896,11461533
平成26,2014,総数,Total,14458496,23252466,6137426,11004199,8321070,12248267
平成27,2015,総数,Total,15560713,24575096,6245640,11366245,9315073,13208851
平成28,2016,総数,Total,15188501,22594620,5820405,10587324,9368096,12007295
平成29,2017,総数,Total,17488837,24798603,5862127,11701087,11626709,13097516
平成29,2017,1,Jan.,1163068,2102485,376291,1029466,786777,1073019
平成29,2017,2,Feb.,1411065,1775539,459780,800802,951285,974737
平成29,2017,3,Mar.,1637900,2147798,536242,1015110,1101658,1132688
平成29,2017,4,Apr.,1425341,1880282,483135,897008,942206,983274
平成29,2017,5,May,1333262,1957990,429270,941508,903991,1016482
平成29,2017,6,June,1479228,2087779,500224,1010098,979005,1077681
平成29,2017,7,July,1475376,2024495,538765,990621,936611,1033874
平成29,2017,8,Aug.,1435833,1980853,489035,1002030,946799,978822
平成29,2017,9,Sept.,1529983,2124530,522503,1030708,1007480,1093821
平成29,2017,10,Oct.,1492440,2233618,508160,970633,984280,1262985
平成29,2017,11,Nov.,1515694,2279416,484326,1036500,1031369,1242916
平成29,2017,12,Dec.,1589646,2203819,534397,976603,1055249,1227217
,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,
12-5  輸出入額 (平成25～29年) 12-5  VALUE OF FOREIGN TRADE ( 2013-2017 ),,,,,,,,,
この表は， 輸出入申告書， 積みもどし申告書及び船舶， 航空機の入出港届等を資料として作成されたものである。輸出は本船渡価額 (F.O.B.)，輸入は到着価額 (C.I.F.) である。 なお，「海上」 は東京税関管内の「東京港」であり，「航空」は「東京国際空港(羽田)」 と「成田国際空港」分を合計したものである。,,,,,,,,,
"This table has been prepared in reference to import/export declarations， reshipment declarations， notifications of the seaports/airports of entry/departure， and others. Values of exports and imports are based on F.O.B. and C.I.F. prices， respectively.""By sea"" refers to the values of imports/exports passing through the Port of Tokyo， Tokyo Customs， and ""By air"" refers to the value of trade (import/export) through the Tokyo International Airport (Haneda Airport) and Narita International Airport.  ",,,,,,,,,
資料：東京税関 「貿易年表」 Source: Tokyo Customs,,,,,,,,,
（単位  百万円）(In millions of yen)  ,,,,,,,,,
