年度末,End of fiscal year,都電 Toei Streetcar／営業キロ Length of line(km),都電 Toei Streetcar／運転系統 Operation routes／系統数 Number of routes,都電 Toei Streetcar／運転系統 Operation routes／総延長 Total length(km),都電 Toei Streetcar／停留場数 Number of stops,都電 Toei Streetcar／在籍車両数 Vehicles owned(両 vehicles),都電 Toei Streetcar／平均定員 Average passenger capacity(人 passengers),都バス Toei Bus／営業キロ Length of line(km),都バス Toei Bus／運転系統 Operation routes／系統数 Number of routes,都バス Toei Bus／運転系統 Operation routes／総延長 Total length(km),都バス Toei Bus／停留所数 Stops,都バス Toei Bus／在籍車両数 Vehicles owned(両 vehicles),都バス Toei Bus／平均定員 Average passenger capacity(人 passengers)
平成25,2013,12.2,1,12.2,30,36,96,744.2,131,1090.2,3849,1453,71.1
平成26,2014,12.2,1,12.2,30,36,96,743.7,131,1091.2,3814,1455,71.4
平成27,2015,12.2,1,12.2,30,38,96,737.7,129,1072,3814,1453,71.6
平成28,2016,12.2,1,12.2,30,36,96,737.9,129,1072.1,3811,1464,72.1
平成29,2017,12.2,1,12.2,30,36,96,737.8,129,1072,3811,1476,72.7
,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,
4-9  都営交通の営業設備及び運輸成績 (1)  営業設備 (平成25～29年度末) ａ　都電 ｂ　都バス 4-9  OPERATIONS OF TOEI TRANSPORTATION (1)  OPERATION FACILITIES ( End of Fiscal Years 2013-2017 ) ａ　Toei Streetcar ｂ　Toei Bus,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,
