地域階層,地域コード,項番 Item number,地域,District,総床面積 Total floor space,新設 Newly constructed／総数 Total／戸数 Number,新設 Newly constructed／総数 Total／総床面積 Total floor space,新設 Newly constructed／持家 Owner's dwelling ／戸数 Number,新設 Newly constructed／持家 Owner's dwelling ／総床面積 Total floor space,新設 Newly constructed／貸家 For rent／戸数 Number,新設 Newly constructed／貸家 For rent／総床面積 Total floor space,新設 Newly constructed／給与住宅 Issued dwelling／戸数 Number,新設 Newly constructed／給与住宅 Issued dwelling／総床面積 Total floor space,新設 Newly constructed／分譲住宅 For sale／戸数 Number,新設 Newly constructed／分譲住宅 For sale／総床面積 Total floor space,その他 Others／総数 Total／戸数 Number,その他 Others／総数 Total／総床面積 Total floor space,その他 Others／持家 Owner's dwelling ／戸数 Number,その他 Others／持家 Owner's dwelling ／総床面積 Total floor space,その他 Others／貸家 For rent／戸数 Number,その他 Others／貸家 For rent／総床面積 Total floor space,その他 Others／給与住宅 Issued dwelling／戸数 Number,その他 Others／給与住宅 Issued dwelling／総床面積 Total floor space,その他 Others／分譲住宅 For sale／戸数 Number,その他 Others／分譲住宅 For sale／総床面積 Total floor space
0,13000,,総数,Tokyo-to,9585313,150350,9523265,15464,1774576,73574,2926518,496,38446,60816,4783725,1650,62048,202,10346,529,12961,902,37478,17,1263
1,13100,,区部,All ku,7136570,117616,7099057,9669,1125786,60740,2380207,296,27823,46911,3565241,1036,37513,78,4156,288,8448,664,24508,6,401
5,13101,1,千代田区,Chiyoda-ku,84402,1259,82958,9,1128,535,23589,4,598,711,57643,3,1444,-,-,1,881,2,563,-,-
5,13102,2,中央区,Chuo-ku,646956,6967,646896,28,2573,2553,149788,3,440,4383,494095,3,60,-,-,-,-,3,60,-,-
5,13103,3,港区,Minato-ku,330334,3690,328454,93,14063,1716,95215,19,5613,1862,213563,15,1880,-,-,2,365,13,1515,-,-
5,13104,4,新宿区,Shinjuku-ku,217419,4438,216182,240,25828,2472,92547,22,1532,1704,96275,26,1237,1,98,3,207,22,932,-,-
5,13105,5,文京区,Bunkyo-ku,139424,2244,139263,236,28796,893,39757,1,69,1114,70641,6,161,-,-,1,17,5,144,-,-
5,13106,6,台東区,Taito-ku,168592,3472,168088,145,15859,1559,65931,7,698,1761,85600,22,504,3,59,2,26,16,406,1,13
5,13107,7,墨田区,Sumida-ku,205981,4239,205285,243,26307,2048,84852,7,717,1941,93409,24,696,3,72,4,97,17,527,-,-
5,13108,8,江東区,Koto-ku,425025,7046,421908,230,27176,3014,113101,1,113,3801,281518,82,3117,-,-,-,-,82,3117,-,-
5,13109,9,品川区,Shinagawa-ku,423879,7022,422375,483,52829,2689,101462,11,720,3839,267364,41,1504,-,-,5,445,36,1059,-,-
5,13110,10,目黒区,Meguro-ku,216143,3394,215437,449,63505,2068,87139,26,2450,851,62343,28,706,1,20,12,320,15,366,-,-
5,13111,11,大田区,Ota-ku,445107,8796,442365,860,94883,5135,182381,26,2736,2775,162365,79,2742,7,703,34,714,38,1325,-,-
5,13112,12,世田谷区,Setagaya-ku,588025,8970,583982,1623,193731,5041,198079,37,1830,2269,190342,116,4043,18,1075,38,923,60,2045,-,-
5,13113,13,渋谷区,Shibuya-ku,348720,4232,347827,217,31602,1554,72343,14,2243,2447,241639,10,893,1,206,2,469,7,218,-,-
5,13114,14,中野区,Nakano-ku,220161,4373,219038,314,36032,2784,102767,3,115,1272,80124,28,1123,2,71,7,132,18,837,1,83
5,13115,15,杉並区,Suginami-ku,316512,5670,315387,839,94581,3452,119060,11,737,1368,101009,37,1125,8,304,8,187,20,569,1,65
5,13116,16,豊島区,Toshima-ku,171847,3490,171772,328,34586,2277,82398,1,449,884,54339,3,75,2,42,-,-,-,-,1,33
5,13117,17,北区,Kita-ku,234352,4351,230374,358,37965,2470,93724,2,174,1521,98511,86,3978,2,144,7,450,77,3384,-,-
5,13118,18,荒川区,Arakawa-ku,157281,2631,156688,203,22073,1148,40514,5,763,1275,93338,26,593,-,-,3,49,23,544,-,-
5,13119,19,板橋区,Itabashi-ku,317401,6481,316210,406,48381,3633,132838,10,612,2432,134379,44,1191,1,36,23,396,20,759,-,-
5,13120,20,練馬区,Nerima-ku,495419,8123,491242,881,103087,3921,146825,24,2502,3297,238828,132,4177,11,707,61,1252,60,2218,-,-
5,13121,21,足立区,Adachi-ku,371759,6745,369042,537,61799,4311,149703,19,957,1878,156583,127,2717,9,321,46,886,72,1510,-,-
5,13122,22,葛飾区,Katsushika-ku,243464,4497,242266,420,46672,2498,80409,14,607,1565,114578,39,1198,6,150,18,345,15,703,-,-
5,13123,23,江戸川区,Edogawa-ku,368367,5486,366018,527,62330,2969,125785,29,1148,1961,176755,59,2349,3,148,11,287,43,1707,2,207
2,13200,,市部,All shi,2410553,32320,2386571,5623,630181,12704,538720,196,10416,13797,1207254,602,23982,117,5697,236,4453,238,12970,11,862
5,13201,1,八王子市,Hachioji-shi,274398,3852,272070,644,76007,1778,69937,1,93,1429,126033,69,2328,22,1346,32,552,13,227,2,203
5,13202,2,立川市,Tachikawa-shi,103826,1655,102968,226,25010,794,29055,1,128,634,48775,32,858,4,172,13,232,15,454,-,-
5,13203,3,武蔵野市,Musashino-shi,68457,996,67659,224,27158,575,22738,18,1617,179,16146,32,798,3,78,16,354,12,237,1,129
5,13204,4,三鷹市,Mitaka-shi,105433,1438,104124,269,30100,567,25293,42,2719,560,46012,33,1309,6,246,16,635,11,428,-,-
5,13205,5,青梅市,Ome-shi,62898,708,61510,208,23595,243,11842,1,129,256,25944,20,1388,7,290,10,147,3,951,-,-
5,13206,6,府中市,Fuchu-shi,154050,2049,153178,353,38638,806,40414,6,638,884,73488,28,872,9,259,6,122,13,491,-,-
5,13207,7,昭島市,Akishima-shi,80801,1141,80117,158,17073,518,22263,-,-,465,40781,31,684,-,-,12,152,19,532,-,-
5,13208,8,調布市,Chofu-shi,150630,2089,148942,277,29732,746,31316,12,253,1054,87641,53,1688,6,221,18,340,29,1127,-,-
5,13209,9,町田市,Machida-shi,232383,2658,228719,615,71771,770,38607,2,362,1271,117979,48,3664,18,1197,13,253,10,1719,7,495
5,13210,10,小金井市,Koganei-shi,134488,1917,134231,169,18499,612,23296,2,326,1134,92110,6,257,1,14,4,82,1,161,-,-
5,13211,11,小平市,Kodaira-shi,72270,975,71896,192,19880,371,13815,-,-,412,38201,19,374,4,105,10,141,5,128,-,-
5,13212,12,日野市,Hino-shi,110673,1426,110181,326,36894,495,22186,84,2559,521,48542,15,492,2,236,10,161,3,95,-,-
5,13213,13,東村山市,Higashimurayama-shi,107083,1477,103872,179,19003,501,16319,5,396,792,68154,18,3211,1,23,4,70,13,3118,-,-
5,13214,14,国分寺市,Kokubunji-shi,68989,899,68861,184,20463,324,13343,20,1061,371,33994,8,128,2,55,5,61,1,12,-,-
