海区,Sea region,区分,Classification,区分,Classification,生産金額 Value
総数,Total,総数,Total,,,4157292
総数,Total,魚類,Fish,総数,Total,3464798
総数,Total,魚類,Fish,きんめだい,Alfonsino,1708043
総数,Total,魚類,Fish,かじき類,Swordfish,244415
総数,Total,魚類,Fish,いさき,Grunt,29750
総数,Total,その他の水産動物,Other marine animals,総数,Total,488922
総数,Total,その他の水産動物,Other marine animals,いせえび,Spiny lobster,174888
総数,Total,その他の水産動物,Other marine animals,いか類,Squid,112584
総数,Total,その他の水産動物,Other marine animals,かめ ,Sea turtle　,9999
総数,Total,貝類,Shellfish,総数,Total,75198
総数,Total,貝類,Shellfish,さざえ,Top shell,18060
総数,Total,貝類,Shellfish,あさり類,Shortnecked clams,21340
総数,Total,貝類,Shellfish,とこぶし,Japanese abalone,19608
総数,Total,藻類,Seaweed,総数,Total,128374
総数,Total,藻類,Seaweed,てんぐさ,Tengusa,101969
総数,Total,藻類,Seaweed,とさかのり,Comb paste,25191
東京湾海区,Tokyo bay area,総数,Total,,,302855
東京湾海区,Tokyo bay area,魚類,Fish,総数,Total,276342
東京湾海区,Tokyo bay area,魚類,Fish,あなご,Conger,30645
東京湾海区,Tokyo bay area,魚類,Fish,すずき,Sea bass,131318
東京湾海区,Tokyo bay area,魚類,Fish,かれい類,Flounder,47394
東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,総数,Total,681
東京湾海区,Tokyo bay area,貝類,Shellfish,総数,Total,25825
東京湾海区,Tokyo bay area,貝類,Shellfish,あさり類,Shortnecked clams,21340
東京湾海区,Tokyo bay area,藻類,Seaweed,総数,Total,7
大島海区,Oshima sea area,総数,Total,,,1662350
大島海区,Oshima sea area,魚類,Fish,総数,Total,1288814
大島海区,Oshima sea area,魚類,Fish,きんめだい,Alfonsino,837811
大島海区,Oshima sea area,魚類,Fish,いさき,Grunt,29634
大島海区,Oshima sea area,魚類,Fish,たかべ,Yellow striped butterfish,84179
大島海区,Oshima sea area,その他の水産動物,Other marine animals,総数,Total,215474
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,154271
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いか類,Squid,60374
大島海区,Oshima sea area,貝類,Shellfish,総数,Total,46380
大島海区,Oshima sea area,貝類,Shellfish,さざえ,Top shell,17677
大島海区,Oshima sea area,貝類,Shellfish,とこぶし,Japanese abalone,17490
大島海区,Oshima sea area,貝類,Shellfish,くぼがい,Chlorostoma lischkei ,5925
大島海区,Oshima sea area,藻類,Seaweed,総数,Total,111683
大島海区,Oshima sea area,藻類,Seaweed,てんぐさ,Tengusa,85886
大島海区,Oshima sea area,藻類,Seaweed,とさかのり,Comb paste,25185
三宅海区,Miyake sea area,総数,Total,,,268322
三宅海区,Miyake sea area,魚類,Fish,総数,Total,237103
三宅海区,Miyake sea area,魚類,Fish,きんめだい,Alfonsino,115870
三宅海区,Miyake sea area,魚類,Fish,まぐろ類,Tuna,56301
三宅海区,Miyake sea area,魚類,Fish,かつお類,Skipjack,13813
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,総数,Total,12021
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,9494
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いか類,Squid,2236
三宅海区,Miyake sea area,貝類,Shellfish,総数,Total,2520
三宅海区,Miyake sea area,貝類,Shellfish,さざえ,Top shell,383
三宅海区,Miyake sea area,貝類,Shellfish,とこぶし,Japanese abalone,1645
三宅海区,Miyake sea area,藻類,Seaweed,総数,Total,16678
三宅海区,Miyake sea area,藻類,Seaweed,てんぐさ,Tengusa,16083
