年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,特別区税 Ku taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,特別区財政調整交付金 Finance adjustment grants for ku,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成27,2015,13100,,区部,All ku,3647001,1008264,14488,13147,31559,253641,39,6077,4402,996356,1021,33137,86118,16005,608021,222626,44463,4985,65145,115081,74657,47771
平成28,2016,13100,,区部,All ku,3728107,1040544,14521,3684,19080,230087,38,6150,4461,987804,970,36236,89763,15915,652858,242369,18720,4386,103294,119118,73636,64471
平成29,2017,13100,,区部,All ku,3804572,1055051,14477,3983,32983,236248,38,7738,4682,976299,926,39556,89434,16436,659211,267741,32392,3968,140840,106906,70392,45271
平成29,2017,13101,1,千代田区,Chiyoda-ku,52977,19084,296,58,483,11296,-,172,11,3783,21,525,4722,572,3899,2635,283,136,1366,2178,1458,-
平成29,2017,13102,2,中央区,Chuo-ku,104418,27713,381,94,780,9926,-,221,75,14517,25,849,5992,818,12923,7064,13628,112,2547,2835,3917,-
平成29,2017,13103,3,港区,Minato-ku,184674,76743,439,286,2390,14101,-,253,51,3988,39,451,8218,760,12078,8019,1678,313,49031,3468,2368,-
平成29,2017,13104,4,新宿区,Shinjuku-ku,144735,47814,468,165,1369,12460,-,268,87,28167,36,1817,3897,904,27806,10348,1340,137,183,3851,2760,858
平成29,2017,13105,5,文京区,Bunkyo-ku,92384,32879,266,128,1062,5944,-,152,55,17086,18,1259,2159,463,11153,5963,601,179,7851,3171,1628,368
平成29,2017,13106,6,台東区,Taito-ku,99732,21479,337,72,599,5780,-,193,89,28890,24,740,2608,664,21912,7717,626,159,169,2370,3073,2230
平成29,2017,13107,7,墨田区,Sumida-ku,114814,23698,354,87,717,6098,-,203,163,38420,26,1370,2570,508,22277,8152,130,467,3929,2963,1267,1415
平成29,2017,13108,8,江東区,Koto-ku,201766,50377,668,188,1561,12131,23,386,323,59388,47,3481,3110,795,32015,12123,193,666,15710,4639,2145,1798
平成29,2017,13109,9,品川区,Shinagawa-ku,168173,46512,530,178,1475,10605,-,304,169,40840,30,1948,4808,620,31138,14967,1039,16,2964,5296,4319,416
平成29,2017,13110,10,目黒区,Meguro-ku,93888,44089,363,176,1453,6086,-,208,66,12294,26,1193,2339,465,12114,6946,143,119,724,3555,845,684
平成29,2017,13111,11,大田区,Ota-ku,255243,73727,1984,286,2360,15824,-,573,322,70016,66,2985,7178,1106,46412,18931,342,64,4824,3914,4098,232
平成29,2017,13112,12,世田谷区,Setagaya-ku,301608,119322,1259,479,3964,18124,-,720,292,46466,86,3020,5789,1329,45216,23799,1693,89,182,10571,6534,12673
平成29,2017,13113,13,渋谷区,Shibuya-ku,102503,49887,396,185,1538,8754,-,227,43,4216,29,879,3575,736,11624,6234,3023,651,-,9517,988,-
平成29,2017,13114,14,中野区,Nakano-ku,125240,33776,414,131,1082,6814,-,236,112,35495,24,956,1783,557,23396,9696,388,103,4622,3519,1038,1100
平成29,2017,13115,15,杉並区,Suginami-ku,194202,64306,736,254,2098,11254,-,420,200,41573,55,1473,4162,799,29546,15168,1041,85,6953,7331,1821,4929
平成29,2017,13116,16,豊島区,Toshima-ku,117978,32167,429,116,961,7677,-,245,94,28799,24,1359,2779,622,20691,9578,410,114,6121,138,3460,2194
平成29,2017,13117,17,北区,Kita-ku,143202,28785,453,107,884,7170,9,260,184,49653,25,1690,2836,555,26511,9577,166,12,6064,1966,3323,2973
平成29,2017,13118,18,荒川区,Arakawa-ku,94091,16890,271,63,521,4429,-,155,152,38112,17,1292,1892,341,17748,6466,345,9,330,2484,1891,682
平成29,2017,13119,19,板橋区,Itabashi-ku,212768,45656,776,173,1426,11607,4,445,363,66443,54,3316,3820,815,45735,14323,198,40,4332,4330,6613,2297
平成29,2017,13120,20,練馬区,Nerima-ku,253616,65814,997,260,2140,14137,-,570,385,82667,67,1775,4250,875,48471,18592,725,227,102,3621,2982,4959
平成29,2017,13121,21,足立区,Adachi-ku,278933,47924,997,175,1448,13664,2,573,554,100404,76,2863,4224,821,64545,20107,631,39,11176,4143,2578,1989
平成29,2017,13122,22,葛飾区,Katsushika-ku,204706,33297,638,124,1025,8900,-,366,392,74919,45,1740,2552,523,37964,14449,3074,63,6217,8705,8473,1240
平成29,2017,13123,23,江戸川区,Edogawa-ku,262920,53112,1025,200,1646,13466,-,588,499,90163,66,2574,4172,788,54039,16889,697,167,5444,12340,2813,2235
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (1) 歳入 (平成27～29年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (1) REVENUE ( Fiscal Years 2015-2017 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 配当割交付金等に株式等譲渡所得割交付金を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Dividend grants include stock etc. transfer income grants. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,
