年次,Year,月次,Month,旅客数 Passengers／国内線 Domestic／乗客 Boarding,旅客数 Passengers／国内線 Domestic／降客 Deboarding,旅客数 Passengers／国際線 International／乗客 Boarding,旅客数 Passengers／国際線 International／降客 Deboarding,旅客数 Passengers／国際線 International／通過 Direct transit,貨物 Freight／国内線 Domestic／積荷 Loaded(t),貨物 Freight／国内線 Domestic／降荷 Unloaded(t),貨物 Freight／国際線 International／積荷 Loaded(t),貨物 Freight／国際線 International／降荷 Unloaded(t),郵便物 Mail／国内線 Domestic／積荷 Loaded(t),郵便物 Mail／国内線 Domestic／降荷 Unloaded(t),郵便物 Mail／国際線 International／積荷 Loaded(t),郵便物 Mail／国際線 International／降荷 Unloaded(t)
平成25,2013,,,30264464,30185190,4005483,3947366,21273,349349,390060,63322,86481,33584,13859,4457,13247
平成26,2014,,,31088746,31074067,5297278,5214671,69001,360945,404600,123335,145770,33047,16086,10354,14952
平成27,2015,,,31268972,31231517,6326645,6310755,117053,354054,401774,156771,175294,33087,18648,18948,15176
平成28,2016,,,32453768,32481295,7535889,7506839,132011,350090,380687,194460,225555,33281,18394,19470,15993
平成29,2017,,,34187100,34218189,8382572,8347678,164762,349079,394463,249751,291388,32641,19918,20817,20297
平成29,2017,1,Jan.,2467400,2770825,651364,680436,20725,24297,27905,17925,20933,2666,1508,1543,1477
平成29,2017,2,Feb.,2514531,2520958,669117,609574,10875,25081,30084,17427,18419,2449,1418,1457,1386
平成29,2017,3,Mar.,3000070,3017804,708637,764805,7427,30068,34610,21324,25448,2926,1666,1796,1692
平成29,2017,4,Apr.,2554113,2457418,713467,676871,8823,27960,31955,19708,23229,2727,1614,1553,1573
平成29,2017,5,May,2770674,2871757,654635,663928,14781,24970,28732,21817,24994,2545,1606,1735,1685
平成29,2017,6,June,2709779,2676826,643076,650487,18343,26976,29551,20948,23716,2844,1623,1672,1588
平成29,2017,7,July,2937106,2862823,721018,706665,16126,29384,35382,20104,24140,2467,1466,1518,1528
平成29,2017,8,Aug.,3338498,3399238,778885,742265,11102,30290,34453,19541,23309,2390,1381,1525,1454
平成29,2017,9,Sept.,2972721,3006127,688568,721062,13468,30368,33449,21278,24862,2543,2013,1722,1631
平成29,2017,10,Oct.,3063341,3065120,719211,715909,15241,30115,33831,22939,27495,2783,1576,1825,1750
平成29,2017,11,Nov.,2972809,2968985,712520,709145,10688,33589,36011,23366,27975,2970,1912,2131,2116
平成29,2017,12,Dec.,2886058,2600308,722074,706531,17163,35981,38500,23374,26868,3329,2134,2339,2415
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-23　航空輸送量 (1)　東京国際空港 (羽田) (平成25～29年) 4-23 TRANSPORTATION BY ＡIR (1) TOKYO INTERNATIONAL AIRPORT ( HANEDA ) ( 2013-2017 ),,,,,,,,,,,,,,,,
資料：国土交通省「航空管理状況調書」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,
