品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位,Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,　　　　,,,24798603,,11701087,,13097516
食料品及び動物,Foodstuffs and animals,,,,,,,　　　　,,,1697190,,1553854,,143336
食料品及び動物,Foodstuffs and animals,肉類及び同調製品,Meat and meat preparations,,,,," 1,000ｔ",,940,476194,940,476194,-,-
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,," 1,000ｔ",,639,611594,602,550543,38,61051
食料品及び動物,Foodstuffs and animals,果実及び野菜,Fruits and vegetables,,,,," 1,000ｔ",,1517,312595,1469,276416,48,36179
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,473937,,459568,,14369
飲料及びたばこ,Beverages and tobacco,アルコール飲料,Alcoholic beverages,,,,,"1,000kl",,274,132259,274,132259,-,-
飲料及びたばこ,Beverages and tobacco,たばこ,Tobacco,,,,,,,,309602,,309602,,-
原材料,Raw material,,,,,,,　　　　,,,290542,,233539,,57003
鉱物性燃料,Mineral fuels,,,,,,,　　　　,,,11980,,10233,,1747
動植物性油脂,Animal and vegetable oils and fats,,,,,,," 1,000ｔ",,118,31654,117,29789,0,1865
化学製品,Chemical products,,,,,,,　　　　,,,3048592,,1140884,,1907708
化学製品,Chemical products,元素及び化合物,Elements and compounds,,,,,,,,606413,,247368,,359045
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,,,,455411,,132933,,322478
化学製品,Chemical products,医薬品,Medical products,,,,," 1,000ｔ",,37,1555057,30,271968,7,1283089
化学製品,Chemical products,プラスチック,Plastic materials,,,,," 1,000ｔ",,953,304568,934,247609,19,56958
原料別製品,Manufactured goods by raw materials,,,,,,,　　　　,,,1788716,,1091378,,697338
原料別製品,Manufactured goods by raw materials,紙類及び同製品,Paper and paper products,,,,," 1,000ｔ",,708,120466,708,120466,-,-
原料別製品,Manufactured goods by raw materials,織物用糸及び繊維製品,Textile yarn and textile goods,,,,,　　　　,,,222072,,196553,,25519
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,        ,,,260443,,112846,,147597
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,," 1,000ｔ",,97,566108,92,163641,5,402467
原料別製品,Manufactured goods by raw materials,金属製品,Metal goods,,,,,,,,338636,,266788,,71847
機械類及び輸送用機器,Machinery and transport equipment,,,,,,,　　　　,,,11703416,,4130226,,7573190
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,,,,,　　　　,,,3988057,,1656681,,2331376
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,,,        ,,,1981056,,871174,,1109883
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,（電算機類（含周辺機器））,(Computers (including peripheral devices)),100万台,1mil.units,55,1606876,30,633710,25,973166
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,,,,,        ,,,7050334,,2237246,,4813088
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,重電機器,Heavy electrical power machinery,,,,,,259417,,163990,,95427
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,音響・映像機器（含部品）,Audio/visual apparatuses (including parts),,,,,,636057,,372803,,263254
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,通信機,Communication instruments,,,　　　　,,,2234971,,269564,,1965407
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,家庭用電気機器,Domestic electrical equipment,,,,,,257541,,236675,,20866
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,半導体等電子部品,Semiconductors and other electronic parts,,,        ,,,1835724,,450052,,1385672
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,半導体等電子部品,Semiconductors and other electronic parts,(IC）,(Integrated circuits),"1,000万個",10 mil. units,1343,1590840,225,332719,1118,1258120
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,電気計測機器,Electrical measuring and instruments,,,        ,,,465636,,126000,,339636
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,,,,,　　　　,,,665025,,236299,,428726
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,自動車の部分品,Parts of motor vehicles,,," 1,000ｔ",,166,192001,153,140009,13,51992
雑製品,Miscellaneous manufactured goods,,,,,,,,,,5124288,,2889817,,2234470
雑製品,Miscellaneous manufactured goods,バッグ類,Bags,,,,," 1,000ｔ",,84,399780,76,180548,8,219232
