地域階層,地域コード,地域,District,総数 Total／所有者数 Number of owners,総数 Total／面積 Area,個人 Individual／所有者数 Number of owners,個人 Individual／面積 Area,法人 Companies／所有者数 Number of owners,法人 Companies／面積 Area
0,13100,区部,All ku,1275862,299570,1181546,209508,94316,90062
1,13101,千代田区,Chiyoda-ku,8534,3523,5067,606,3467,2917
1,13102,中央区,Chuo-ku,12577,3184,8115,728,4462,2455
1,13103,港区,Minato-ku,18448,8020,13234,1923,5214,6098
1,13104,新宿区,Shinjuku-ku,38345,8449,32918,4868,5427,3581
1,13105,文京区,Bunkyo-ku,28519,5057,25730,3307,2789,1750
1,13106,台東区,Taito-ku,27102,4333,22589,2457,4513,1875
1,13107,墨田区,Sumida-ku,32745,6245,29445,3950,3300,2295
1,13108,江東区,Koto-ku,33991,13519,29898,3925,4093,9594
1,13109,品川区,Shinagawa-ku,45147,11584,41434,5855,3713,5729
1,13110,目黒区,Meguro-ku,39191,8249,36292,6200,2899,2049
1,13111,大田区,Ota-ku,95939,23367,89321,15864,6618,7503
1,13112,世田谷区,Setagaya-ku,136855,33134,130103,26544,6752,6590
1,13113,渋谷区,Shibuya-ku,28602,7101,24104,3918,4498,3184
1,13114,中野区,Nakano-ku,50920,9438,47755,7606,3165,1833
1,13115,杉並区,Suginami-ku,97481,20804,93027,17752,4454,3053
1,13116,豊島区,Toshima-ku,38784,7401,35358,5310,3426,2091
1,13117,北区,Kita-ku,42585,9650,39993,6021,2592,3629
1,13118,荒川区,Arakawa-ku,26056,5254,24167,3508,1889,1746
1,13119,板橋区,Itabashi-ku,67896,16309,63941,11824,3955,4485
1,13120,練馬区,Nerima-ku,124786,29149,120607,25685,4179,3465
1,13121,足立区,Adachi-ku,106529,27012,101583,20983,4946,6029
1,13122,葛飾区,Katsushika-ku,74856,16263,71468,13060,3388,3203
1,13123,江戸川区,Edogawa-ku,99974,22525,95397,17615,4577,4910
0,13200,市部,All shi,920319,428224,890747,326907,29572,101318
1,13201,八王子市,Hachioji-shi,124504,90405,120544,63368,3960,27038
1,13202,立川市,Tachikawa-shi,31546,13912,30315,10460,1231,3451
1,13203,武蔵野市,Musashino-shi,22888,6776,21902,5443,986,1333
1,13204,三鷹市,Mitaka-shi,32918,10306,31895,8771,1023,1535
1,13205,青梅市,Ome-shi,36677,60350,35492,41525,1185,18825
1,13206,府中市,Fuchu-shi,45519,15136,44150,11161,1369,3975
1,13207,昭島市,Akishima-shi,21482,9108,20657,5863,825,3245
1,13208,調布市,Chofu-shi,38144,12029,36864,9912,1280,2117
1,13209,町田市,Machida-shi,102334,41930,99531,34533,2803,7397
1,13210,小金井市,Koganei-shi,23936,6662,23233,5796,703,866
1,13211,小平市,Kodaira-shi,49013,13155,47428,10480,1585,2674
1,13212,日野市,Hino-shi,48394,14460,46822,11221,1572,3239
1,13213,東村山市,Higashimurayama-shi,33222,9941,32425,8614,797,1327
1,13214,国分寺市,Kokubunji-shi,27379,8080,26488,6790,891,1290
1,13215,国立市,Kunitachi-shi,13710,4787,13124,3955,586,832
1,13218,福生市,Fussa-shi,11007,3895,10626,3271,381,624
1,13219,狛江市,Komae-shi,18328,3975,17715,3570,613,406
1,13220,東大和市,Higashiyamato-shi,18426,6057,17954,5273,472,785
1,13221,清瀬市,Kiyose-shi,14250,5907,13965,5147,285,759
1,13222,東久留米市,Higashikurume-shi,33392,8476,32694,7221,698,1255
1,13223,武蔵村山市,Musashimurayama-shi,19489,8934,18922,7258,567,1676
1,13224,多摩市,Tama-shi,40411,10128,39583,6707,828,3421
1,13225,稲城市,Inagi-shi,14178,9396,13714,5986,464,3410
1,13227,羽村市,Hamura-shi,12957,6080,12599,4177,358,1903
1,13228,あきる野市,Akiruno-shi,27876,37893,27191,31323,685,6570
1,13229,西東京市,Nishitokyo-shi,58339,10447,54914,9083,3425,1364
,,,,,,,,,
東京都統計年鑑 （平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,
1-4  区市別，所有者別土地所有状況（全地目）（平成29年）1-4  LAND OWNERSHIP BY MUNICIPALITY AND OWNER ( ALL LAND CLASSIFICATION ）( 2017 ),,,,,,,,,
注 1) 課税資料（平成29年1月1日)より作成。,,,,,,,,,
2) 面積は評価総地積(免税点未満を含む)。,,,,,,,,,
3) 区部は区分所有に係る土地を除く。,,,,,,,,,
4) 端数処理のため，各項の和と表示した総数は必ずしも一致しない。,,,,,,,,,
Note: 1) Material prepared from taxation data (Jan. 1， 2017).,,,,,,,,,
2) Total appraised area (including land under the tax exemption limit).,,,,,,,,,
3) Ku area excludes land coming under condominium unit ownership.,,,,,,,,,
4) Figures may not add up to the totals shown due to rounding of figures.,,,,,,,,,
資料：都都市整備局都市づくり政策部広域調整課 「東京の土地(土地関係資料集)」 Source: Bureau of Urban Development， TMG,,,,,,,,,
地域階層（0:区部・市部　1:区市町村）,,,,,,,,,
（単位　面積　千m2）(Area in 1，000 m2),,,,,,,,,
