年次(平成),Year,地域階層,地域コード,地域,District,総数 Total,中国 China,韓国 Rep. of Korea,ベトナム Vietnam,フィリピン Philippines ,ネパール Nepal,台湾 Taiwan,アメリカ U.S.A.,インド India,ミャンマー Myanmar,タイ Thailand,その他 Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2014,0,13000,総数,Tokyo-to,394410,162809,96215,9427,28075,10623,…,15590,7902,4998,6885,51886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2015,0,13000,総数,Tokyo-to,417442,172769,94010,14645,28681,14355,…,16097,8730,5627,7154,55374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2016,0,13000,総数,Tokyo-to,449042,185982,93309,22131,29575,18412,…,16411,9475,7044,7370,59333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2017,0,13000,総数,Tokyo-to,486346,185883,88755,27762,30761,22660,17281,16939,10354,8249,7651,70051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,0,13000,総数,Tokyo-to,521500,199949,90438,32334,32089,26157,18568,17578,11153,9719,7958,75557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,1,13100,区部,All ku,439959,171698,77219,26763,23983,23035,15916,14427,10378,9216,6444,60880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13101,千代田区,Chiyoda-ku,2813,1136,421,56,64,29,182,193,73,9,48,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13102,中央区,Chuo-ku,6991,2927,1379,179,149,109,336,343,252,31,88,1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13103,港区,Minato-ku,19522,3746,3425,137,1036,103,701,3119,649,53,171,6382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13104,新宿区,Shinjuku-ku,42428,13727,9998,3489,731,3657,1914,1029,240,2189,737,4717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13105,文京区,Bunkyo-ku,9887,4123,1683,691,223,348,460,315,92,291,204,1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13106,台東区,Taito-ku,14862,6174,3112,736,740,728,476,258,708,106,348,1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13107,墨田区,Sumida-ku,12063,5508,1946,629,1323,330,376,172,95,84,388,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13108,江東区,Koto-ku,27898,13823,4525,936,1521,568,641,450,1857,370,373,2834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13109,品川区,Shinagawa-ku,12234,3984,2315,512,791,755,548,560,404,244,185,1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13110,目黒区,Meguro-ku,8521,1664,1486,164,540,270,434,886,188,52,158,2679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13111,大田区,Ota-ku,22860,7896,3466,1298,2432,2194,958,606,277,254,423,3056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13112,世田谷区,Setagaya-ku,19931,5352,4228,757,836,477,914,1550,481,113,265,4958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13113,渋谷区,Shibuya-ku,10241,1824,1560,316,326,199,609,1329,182,64,172,3660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13114,中野区,Nakano-ku,17956,6308,3080,1723,499,1598,928,481,113,421,264,2541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13115,杉並区,Suginami-ku,16352,5409,2645,1406,472,1923,966,696,100,163,222,2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13116,豊島区,Toshima-ku,29010,12469,2439,3443,493,3383,1258,407,173,2121,305,2519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13117,北区,Kita-ku,20954,9888,2342,1752,828,1265,523,229,177,995,172,2783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13118,荒川区,Arakawa-ku,18564,7066,5163,1899,543,1094,346,173,103,509,145,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13119,板橋区,Itabashi-ku,24719,13253,3050,1421,1442,1024,883,289,120,329,294,2614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13120,練馬区,Nerima-ku,18240,7427,4130,708,1058,628,744,525,113,143,272,2492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13121,足立区,Adachi-ku,29726,12766,7372,1239,3568,427,626,273,145,114,446,2750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13122,葛飾区,Katsushika-ku,20730,10621,3122,1043,1613,864,399,196,78,229,250,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13123,江戸川区,Edogawa-ku,33457,14607,4332,2229,2755,1062,694,348,3758,332,514,2826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,1,13200,市部,All shi,80364,28085,13074,5409,7809,3118,2641,3076,768,495,1482,14407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13201,八王子市,Hachioji-shi,12219,4562,1773,776,1339,550,297,301,116,114,209,2182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13202,立川市,Tachikawa-shi,4114,1775,732,200,380,152,104,122,57,6,49,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13203,武蔵野市,Musashino-shi,3038,985,529,115,87,146,168,337,31,12,52,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2018,3,13204,三鷹市,Mitaka-shi,3635,1186,685,175,179,83,191,311,45,38,53,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
