品目階層,品目,Item,平成27年 2015／数量 Quantity,平成27年 2015／金額 Value,平成28年 2016／数量 Quantity,平成28年 2016／金額 Value,平成29年 2017／数量 Quantity,平成29年 2017／金額 Value
0,総数,Total,463976,467929079,434290,454698901,407653,453152704
1,鮮魚,Fresh fish,158524,158035501,148631,157211514,144099,156935327
2,まぐろ類,Tuna,9814,23281214,10601,23894274,10274,24188217
2,かじき類,Swordfish,1383,2097032,1449,2241808,1290,2068424
2,かつお類,Skipjack,9307,5442325,8492,5535605,8309,5372584
2,ぶり類,Yellowtail,31802,19876377,29965,19456426,31487,19965142
2,あじ類,Horse mackerel,15100,9168377,15588,8955736,14496,8584388
2,さわら類,King mackerel,2323,2338036,2171,2277000,2131,2366590
2,いわし類,Sardine,8052,3234211,8233,3091709,9668,3073745
2,いか類,Squid,9692,6662035,6609,5963530,6037,5790537
2,かれい類,Flounder,3632,2752887,3507,2641542,3796,2702557
2,たい類,Sea bream,12706,13611712,11621,13499588,10992,13547683
2,めぬけ類,Rock fish,975,1806457,935,1752770,1026,1817616
2,さめ類,Shark,430,181545,383,152618,438,174164
2,さけ・ます類,Salmon and trout,8681,10514329,8469,11472205,7972,12006130
2,たら類,Cod,5035,4166414,4456,3927076,4068,3695815
2,えび類,Shrimp and lobster,1675,6202762,1671,6140881,1712,6282671
2,かに類,Crab,1309,3311632,1266,3318680,1182,3471843
2,あなご類,Conger eel,314,507899,308,490444,313,424326
2,ふぐ類,Puffer,646,2183625,569,2267790,603,2129268
2,その他鮮魚類,Other fresh fish,35650,40696632,32337,40131833,28306,39273627
1,活魚類,Live fish ,15260,20896526,15083,21175667,15129,21376936
1,貝類,Shellfish,30596,37448602,28296,34934044,26988,32505390
2,生鮮貝類,Fresh shellfish,26119,29340763,24551,28023731,23594,26540396
2,冷凍貝類,Frozen shellfish,4476,8107838,3745,6910313,3394,5964994
1,冷凍魚,Frozen fish,97012,113034461,87810,106686829,79858,107789434
2,冷まぐろ類,Frozen tuna,32003,46103137,29831,43565699,27169,44402014
2,冷かじき類,Frozen swordfish,2032,1907180,1971,1904875,2040,2057636
2,冷いか類,Frozen squid,6224,4230028,4856,3959695,3208,3582897
2,冷かれい類,Frozen flounder,3711,3198455,2894,2600727,2972,2760015
2,冷たい類,Frozen sea bream,42,55072,34,45863,46,56810
2,冷さめ類,Frozen shark,1,568,2,1064,1,546
2,冷さけ・ます類,Frozen salmon and trout,21190,16124378,18000,15396446,15528,15876702
2,冷えび類,Frozen shrimp and lobster,8158,14104364,8284,13321890,8329,13624252
2,冷かに類,Frozen crab,2008,5646211,1730,5293678,1853,5970313
2,その他冷凍魚類,Other frozen fish,21643,21665068,20208,20596891,18713,19458248
1,淡水魚,Freshwater fish,1429,2573226,1376,2646920,1358,2535685
2,生鮮淡水魚類,Fresh freshwater fish,1326,2475976,1278,2547108,1269,2444679
2,冷凍淡水魚類,Frozen freshwater fish,103,97250,97,99812,89,91007
1,海そう類,Seaweed,7007,3471417,8023,3963459,6911,3722145
1,加工品,Processed foods,154148,132469346,145071,128080469,133311,128287786
2,塩蔵品類,Salted,18913,28111323,17559,27263122,16153,28744069
2,塩干品類,Salted and dried,23010,14224994,20481,13284237,19115,12547930
2,煮干製品類,Boiled and dried,11372,13466009,11275,12734740,9728,12178662
2,練製品類,"""Surimi""",21474,13082130,19061,12043980,16836,11480932
2,その他,Other,79379,63584891,76696,62754389,71479,63336193
,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-2  品目別水産物の入荷数量 （平成27～29年） 10-2 RECEIVED FISHERY PRODUCTS BY ITEM（ 2015-2017 ）,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:鮮魚・活魚類・貝類・冷凍魚・淡水魚・海そう類・加工品　2:水産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen)  ,,,,,,,,
