品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位, Units,総数 Total／数量 Quantity,総数 Total／価額 Value,海上 By sea／数量 Quantity,海上 By sea／価額 Value,航空 By air／数量 Quantity,航空 By air／価額 Value
総額,Total,,,,,,,　　　　　,,,17488837,,5862127,,11626709
食料品及び動物,Foodstuffs and animals,,,,,,,　　　　　,,,128190,,95787,,32403
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,,"1,000t",,184,37533,183,33932,1,3601
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,15311,,13896,,1415
原材料,Raw material,,,,,,,,,,125198,,115691,,9507
原材料,Raw material,パルプ及び古紙,Pulp and waste papers,,,,,"1,000t",,1667,40478,1667,40478,-,-
原材料,Raw material,金属鉱及びくず,Metalliferous ores and metal scraps,,,,,"1,000t",,502,28790,502,28790,-,-
鉱物性燃料,Mineral fuels,,,,,,,,,,4936,,4369,,567
動植物性油脂,Animal and vegetable oils and fats,,,,,,,"1,000t",,19,3102,19,2837,0,266
化学製品,Chemical products,,,,,,,　　　　　,,,1712810,,622110,,1090701
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,　　　　　,,,140319,,42781,,97538
化学製品,Chemical products,プラスチック,Plastic materials,,,,,"1,000t",,739,480397,710,273307,28,207090
原料別製品,Manufactured goods by raw materials,,,,,,,　　　　　,,,1173744,,475494,,698251
原料別製品,Manufactured goods by raw materials,ゴム製品,Rubber goods,,,,,"1,000t",,64,90162,61,67565,2,22597
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,　　　　　,,,208101,,62616,,145485
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,ガラス及び同製品,Glass and glasswares,,,          ,,,101015,,24010,,77006
原料別製品,Manufactured goods by raw materials,鉄鋼,Iron and steel products,,,,,"1,000t",,187,47244,187,47244,-,-
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,,"1,000t",,100,397502,81,94150,19,303352
原料別製品,Manufactured goods by raw materials,金属製品,Metal goods,,,,,　　　　　,,,321421,,140387,,181034
機械類及び輸送用機器,Machinery and transport equipment,,,,,,,　　　　　,,,8179559,,3590654,,4588905
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,,,,,　　　　　,,,3677766,,1908290,,1769475
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,原動機,Power generating machinery,,,"1,000t",,168,553314,154,319216,14,234099
