年次,Year,港,Harbor,総数 Total／隻数 Number,総数 Total／総トン数 GT,内航商船 Coasters／隻数 Number,内航商船 Coasters／総トン数 GT,漁船，避難船，その他 Fishing boats， ships taking shelter， etc.／隻数 Number,漁船，避難船，その他 Fishing boats， ships taking shelter， etc.／総トン数 GT
平成25,2013,総数,Total,27775,17039108,10271,16616498,17504,422610
平成26,2014,総数,Total,26636,19912525,10734,19452794,15902,459731
平成27,2015,総数,Total,22757,18113590,9569,17335425,13188,778165
平成28,2016,総数,Total,24776,19930909,9814,19531893,14962,399016
平成29,2017,総数,Total,26172,20540350,9824,19878652,16348,661698
平成29,2017,元町港,Motomachi Harbor,1381,841878,1380,841774,1,104
平成29,2017,岡田港,Okada Harbor,2263,3603459,2245,3596938,18,6521
平成29,2017,波浮港,Habu Harbor,464,143383,326,112057,138,31326
平成29,2017,利島港,Toshima Harbor,1323,2501981,1323,2501981,0,0
平成29,2017,新島港,Niijima Harbor,1540,2814465,1285,2690790,255,123675
平成29,2017,式根島港,Shikinejima Harbor,1551,11841,0,0,1551,11841
平成29,2017,神津島港,Kozushima Harbor,4064,975093,489,789986,3575,185107
平成29,2017,三池港,Miike Harbor,380,1535294,380,1535294,0,0
平成29,2017,御蔵島港,Mikurajima Harbor,524,2637554,524,2637554,0,0
平成29,2017,神湊港,Kaminato Harbor,965,3698305,915,3589420,50,108885
平成29,2017,八重根港,Yaene Harbor,53,169706,53,169706,0,0
平成29,2017,青ヶ島港,Aogashima Harbor,191,104607,187,87807,4,16800
平成29,2017,二見港,Futami Harbor,8878,1358234,422,1196462,8456,161772
平成29,2017,沖港,Oki Harbor,2595,144550,295,128883,2300,15667
,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 4　運輸 4　TRANSPORT ,,,,,,,,,
4-21  入港船舶隻数及び総トン数 （平成25～29年）（島しょ港湾） 4-21 NUMBER AND GROSS TONNAGE OF ARRIVING VESSELS ( 2013-2017 )( Harbors of Islands ),,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,
