年次,Year,月次,Month,調布飛行場 Chofu Airport／旅客数 Passengers／乗客 Boarding,調布飛行場 Chofu Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／旅客数 Passengers／乗客 Boarding,大島空港 Oshima Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／貨物 Freight／積荷 Loaded(t),大島空港 Oshima Airport／貨物 Freight／降荷 Unloaded(t),大島空港 Oshima Airport／郵便物 Mail／積荷 Loaded(t),大島空港 Oshima Airport／郵便物 Mail／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／旅客数 Passengers／乗客 Boarding,三宅島空港 Miyakejima Airport／旅客数 Passengers／降客 Deboarding,三宅島空港 Miyakejima Airport／貨物 Freight／積荷 Loaded(t),三宅島空港 Miyakejima Airport／貨物 Freight／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／積荷 Loaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／旅客数 Passengers／乗客 Boarding,八丈島空港 Hachijojima Airport／旅客数 Passengers／降客 Deboarding,八丈島空港 Hachijojima Airport／貨物 Freight／積荷 Loaded(t),八丈島空港 Hachijojima Airport／貨物 Freight／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／積荷 Loaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／降荷 Unloaded(t),新島空港 Niijima Airport／旅客数 Passengers／乗客 Boarding,新島空港 Niijima Airport／旅客数 Passengers／降客 Deboarding,新島空港 Niijima Airport／貨物 Freight／積荷 Loaded(t),新島空港 Niijima Airport／貨物 Freight／降荷 Unloaded(t),新島空港 Niijima Airport／郵便物 Mail／積荷 Loaded(t),新島空港 Niijima Airport／郵便物 Mail／降荷 Unloaded(t),神津島空港 Kozushima Airport／旅客数 Passengers／乗客 Boarding,神津島空港 Kozushima Airport／旅客数 Passengers／降客 Deboarding,神津島空港 Kozushima Airport／貨物 Freight／積荷 Loaded(t),神津島空港 Kozushima Airport／貨物 Freight／降荷 Unloaded(t),神津島空港 Kozushima Airport／郵便物 Mail／積荷 Loaded(t),神津島空港 Kozushima Airport／郵便物 Mail／降荷 Unloaded(t)
平成25,2013,,,31218,38116,16085,14900,3,20,4,29,4420,831,0,0,-,-,99027,92402,903,342,16,46,16076,13163,6,25,-,-,10838,9016,1,1,-,-
平成26,2014,,,38171,49353,17369,16914,4,21,5,33,10940,5423,4,0,-,-,90734,83949,867,317,16,45,16413,13757,6,24,-,-,11206,9419,1,0,-,-
平成27,2015,,,41129,53387,15246,14521,4,19,4,24,14211,7942,8,1,-,-,89784,82129,768,304,16,39,14759,17412,5,24,-,-,11279,9175,2,1,-,-
平成28,2016,,,41290,54057,10058,8701,2,14,-,-,14984,8156,3,2,-,-,94405,85582,756,272,16,40,17905,15153,5,22,-,-,11301,9409,1,0,-,-
平成29,2017,,,44233,56523,9915,8721,2,14,-,-,16143,9606,2,3,-,-,100584,91097,746,261,18,42,17964,15149,4,18,-,-,12715,10902,2,1,-,-
平成29,2017,1,Jan.,3539,4575,894,708,206,1064,-,-,1267,807,17,221,-,-,7232,6109,53514,25117,1523,3956,1382,1174,198,1592,-,-,1052,867,122,144,-,-
平成29,2017,2,Feb.,3251,4207,812,715,176,972,-,-,1147,691,44,217,-,-,6167,5882,51542,26186,1463,3791,1294,1099,372,1276,-,-,965,751,86,161,-,-
平成29,2017,3,Mar.,3731,5224,1042,892,220,1211,-,-,1384,763,7,199,-,-,8620,7671,63951,24387,1526,3811,1599,1191,746,1635,-,-,1211,892,226,21,-,-
平成29,2017,4,Apr.,3131,3760,667,601,267,1187,-,-,1081,615,310,185,-,-,6981,6910,62304,21709,1539,3964,1227,1136,421,1343,-,-,798,787,72,34,-,-
平成29,2017,5,May,3527,4581,789,679,222,1093,-,-,1352,821,439,234,-,-,9134,7882,72856,16680,1488,3148,1403,1158,319,1315,-,-,1059,885,202,23,-,-
平成29,2017,6,June,3369,4168,626,576,127,1133,-,-,1268,725,203,179,-,-,6108,5461,64642,15586,1381,3023,1438,1276,349,1514,-,-,844,796,116,8,-,-
平成29,2017,7,July,4092,4961,849,799,149,1220,-,-,1428,871,492,219,-,-,8968,8445,65583,15981,1304,2659,1596,1413,294,1619,-,-,1107,1028,334,53,-,-
平成29,2017,8,Aug.,5018,6175,1159,1069,126,1144,-,-,1693,1082,145,201,-,-,14458,12462,74763,22064,1346,2650,1887,1582,365,1652,-,-,1486,1316,134,154,-,-
平成29,2017,9,Sept.,3579,4676,773,681,82,1105,-,-,1421,825,45,263,-,-,9091,7958,48559,20131,1529,3268,1441,1190,217,1445,-,-,1059,895,127,24,-,-
平成29,2017,10,Oct.,3161,3917,645,597,202,1130,-,-,1110,682,16,278,-,-,7369,6932,44242,35157,2189,4626,1293,1122,249,1364,-,-,877,765,155,8,-,-
平成29,2017,11,Nov.,4031,5272,816,695,211,1087,-,-,1526,903,191,207,-,-,9484,8658,57310,16701,1445,3452,1783,1472,294,1532,-,-,1165,972,277,73,-,-
平成29,2017,12,Dec.,3804,5007,843,709,270,1238,-,-,1466,821,76,236,-,-,6972,6727,86664,21701,1690,3578,1621,1336,520,1774,-,-,1092,948,205,70,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-23　航空輸送量 (3)  その他の空港 （国内線）（平成25～29年） 4-23 TRANSPORTATION BY ＡIR (3) OTHER AIRPORTS ( DOMESTIC )  ( 2013-2017 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料： 都港湾局離島港湾部管理課 Source: Bureau of  Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
