観測地,Observatory,総数 Total,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月  Oct.,11月 Nov.,12月 Dec.
東京,Tokyo,1430,26,15.5,85.5,122,49,106.5,81,141.5,209.5,531.5,47,15
江戸川臨海,Edogawarinkai,1182.5,20.5,18,72.5,104.5,67,69.5,76,72.5,190,422,54,16
練馬,Nerima,1452.5,25,13,78,99.5,50,74,131,221.5,195.5,521,31.5,12.5
世田谷,Setagaya,1503.5,21,12,81.5,112,63,118,125.5,144.5,197.5,569.5,43.5,15.5
府中,Fuchu,1456.5,24,13.5,91,99.5,53.5,86.5,167.5,117,182,580,29,13
八王子,Hachioji,1514.5,27,14.5,89,84.5,70,100,130,176,162.5,626,22.5,12.5
小沢,Ozawa,1380.5,40,12,74.5,74,54,69.5,166.5,184,169,507,19.5,10.5
青梅,Ome,1412.5,27,7.5,76,70,60.5,83,124.5,255,143.5,533,21,11.5
小河内,Ogochi,1323.5,27.5,8.5,67,78,47.5,56.5,122.5,257,155.5,469.5,23.5,10.5
羽田,Haneda,1279,18,18,79,108.5,49.5,80.5,71.5,101.5,222,456,61,13.5
大島,Oshima,3387,90.5,68,234,316.5,153.5,228,63,182.5,470,1293,255,33
新島,Niijima,2105,95.5,84,151.5,155,135.5,247.5,32,151,123.5,606.5,275.5,47.5
三宅島,Miyakejima,2597.5,181.5,78,318.5,230.5,106.5,294,26,159,173,727.5,182.5,120.5
八丈島,Hachijojima,3203.5,216,118.5,354.5,183,208.5,450.5,2.5,131.5,464,667.5,298,109
父島,Chichijima,1657.5,48.5,56,26,71,233,228.5,112,276.5,196.5,107.5,135.5,166.5
,,,,,,,,,,,,,,
東京都統計年鑑 （平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,
1-7  地域気象観測所降水量（平成29年） 1-7 PRECIPITATION AT LOCAL METEOROLOGICAL STATIONS ( 2017 ),,,,,,,,,,,,,,
この表の観測地のうち，東京とは東京管区気象台をいい，その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,
注) 記号）: 準正常値 欠測等により統計を行う対象資料が許容範囲で欠けている 。 ,,,,,,,,,,,,,,
Note:) A parenthesis following a figure indicates that an acceptable portion of data needed for the calculation was missing due to measurement failure or other reasons. ,,,,,,,,,,,,,,
資料：気象庁 Source: Japan Meteorological Agency,,,,,,,,,,,,,,
 （単位　mm）(In mm）,,,,,,,,,,,,,,
