地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated building cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated building cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated building cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated building cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated building cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated building cost,,
0,13000,,総数,Tokyo-to,48052,15629561,490618607,34988,4013205,71184965,113,788413,33970666,2846,5477204,186045194,9761,5332244,199154993,19,433,4080,325,18062,258709,,
1,13100,,区部,All ku,29514,12081096,410794038,19897,2354859,42704783,98,657962,30741549,2441,4669832,161208569,6807,4382517,175909731,13,359,3427,258,15567,225979,,
5,13101,1,千代田区,Chiyoda-ku,181,534579,22889720,11,849,14194,7,48658,2238500,57,141709,5041404,96,342726,15593502,-,-,-,10,637,2120,,
5,13102,2,中央区,Chuo-ku,237,905506,34421355,27,2440,46363,6,33240,1293000,102,667590,23967421,102,202236,9114571,-,-,-,-,-,-,,
5,13103,3,港区,Minato-ku,454,1518375,75508929,87,12896,233208,12,254012,11426700,132,232719,9734366,215,1014760,53956355,-,-,-,8,3988,158300,,
5,13104,4,新宿区,Shinjuku-ku,707,537785,19604468,358,43336,776172,5,50110,2242000,133,283161,10526035,185,160519,6054033,-,-,-,26,659,6228,,
5,13105,5,文京区,Bunkyo-ku,459,174344,5772111,274,31189,559951,1,1917,x,51,109738,4106545,132,31482,1035588,1,18,x,-,-,-,,
5,13106,6,台東区,Taito-ku,490,271550,9621483,154,16023,344243,3,15916,x,117,158873,5554564,215,80727,2985636,-,-,-,1,11,x,,
5,13107,7,墨田区,Sumida-ku,677,267274,8169838,360,37955,666913,5,28277,1596727,124,153957,4583821,183,46647,1315057,-,-,-,5,438,7320,,
5,13108,8,江東区,Koto-ku,1153,1051239,38779437,405,45983,894360,5,63743,4100095,104,353665,11018001,633,583204,22756615,3,145,1266,3,4499,9100,,
5,13109,9,品川区,Shinagawa-ku,1050,548435,18529707,629,72770,1375348,6,30652,1463900,138,331274,11700308,273,113669,3988821,1,16,x,3,54,x,,
5,13110,10,目黒区,Meguro-ku,901,249745,6511579,594,84174,1471555,3,4873,291172,110,110497,3410140,185,49988,1337560,-,-,-,9,213,1152,,
5,13111,11,大田区,Ota-ku,2537,800391,24418651,1771,204160,4035722,7,15786,631500,197,213698,6149894,532,366235,13599233,1,11,x,29,501,x,,
5,13112,12,世田谷区,Setagaya-ku,3564,785972,20715916,2651,329698,5862530,7,7549,167625,238,237099,7413979,638,211115,7269098,4,87,1084,26,424,1600,,
5,13113,13,渋谷区,Shibuya-ku,584,649359,26569214,249,35858,609354,10,46749,x,135,431762,18525498,189,134975,5114962,-,-,-,1,15,x,,
