学校,School,総数 Total,教員数 Teachers／本務者 Full-time／計 Total,教員数 Teachers／本務者 Full-time／男 Male,教員数 Teachers／本務者 Full-time／女 Female,教員数 Teachers／兼務者 Part-time／計 Total,教員数 Teachers／兼務者 Part-time／男 Male,教員数 Teachers／兼務者 Part-time／女 Female,職員 General Personnel／計 Total,職員 General Personnel／男 Male,職員 General Personnel／女 Female
総数,Total,…,"65,462","30,347","35,115",…,…,…,"8,016",…,…
幼稚園,Kindergartens,"1,137",842,25,817,254,57,197,41,14,27
幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),221,189,11,178,9,-,9,23,-,23
小学校,Elementary schools,"41,270","32,410","12,427","19,983","5,052","1,320","3,732","3,808","1,589","2,219"
中学校,Junior high schools,"20,814","15,110","8,420","6,690","4,176","1,810","2,366","1,528",705,823
義務教育学校,Compulsory education schools,410,328,152,176,51,15,36,31,13,18
高等学校,Senior high schools,"13,581","9,394","6,050","3,344","2,796","1,446","1,350","1,391",777,614
中等教育学校,Secondary education schools,586,434,269,165,107,53,54,45,22,23
大学,Colleges and universities,…,705,569,136,…,…,…,365,164,201
高等専門学校,Colleges of technology,…,131,119,12,…,…,…,41,…,…
特別支援学校,Special needs schools,"6,943","5,705","2,268","3,437",539,191,348,699,315,384
高等学校（通信制）,Senior high schools (Correspondence course),81,47,29,18,28,14,14,6,3,3
専修学校,Specialized training schools,989,167,8,159,784,390,394,38,12,26
,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,
22-5  職員数 (5) 教職員 (平成29年5月1日) 22-5  GOVERNMENT EMPLOYEES (5) EDUCATIONAL PERSONNEL ( May. 1， 2017 ),,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」， 都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Ministry of Education， Culture， Sports， Science and Technology; Bureau of General Affairs， TMG ,,,,,,,,,,,
