年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成25,2013,総数,Total,,,,,,3044746,1795702,1249045,3025328,1785647,1239679
平成26,2014,総数,Total,,,,,,3045449,1797090,1248358,3026377,1786973,1239403
平成27,2015,総数,Total,,,,,,3130488,1848213,1282278,3111206,1837856,1273352
平成28,2016,総数,Total,,,,,,3171756,1880366,1291391,3152656,1869545,1283111
平成29,2017,総数,Total,,,,,,3226788,1917000,1309787,3208970,1905917,1303052
平成29,2017,区部,Ku area only,,,,,,2599133,1541730,1057401,2581382,1530646,1050736
平成29,2017,小田急電鉄,Odakyu Electric Railway,,,,,,343292,208382,134910,343596,208382,135214
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,,,,324727,196426,128300,325370,196426,128944
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,新宿,Shinjuku,※,93963,56325,37638,90811,56325,34486
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,南新宿,Minami-Shinjuku,※,650,178,472,819,178,641
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,参宮橋,Sangubashi,※,2769,1055,1714,2905,1055,1851
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,代々木八幡,Yoyogi-Hachiman,※,3570,1870,1700,3923,1870,2053
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,代々木上原,Yoyogi-Uehara,※,46349,30580,15769,49540,30580,18960
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,東北沢,Higashi-Kitazawa,※,1216,501,715,1240,501,739
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,下北沢,Shimo-Kitazawa,※,20958,10823,10134,21258,10823,10434
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,世田谷代田,Setagaya-Daita,※,1501,735,765,1545,735,809
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,梅ヶ丘,Umegaoka,※,6051,3829,2222,5965,3829,2136
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,豪徳寺,Gotokuji,※,5026,2792,2234,4923,2792,2132
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,経堂,Kyodo,※,14209,8888,5320,14247,8888,5358
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,千歳船橋,Chitose-Funabashi,※,10685,6789,3896,10492,6789,3703
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,祖師ヶ谷大蔵,Soshigaya-Okura,※,8858,5412,3446,8857,5412,3445
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,成城学園前,Seijogakuen-Mae,※,16444,10181,6263,16212,10181,6031
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,喜多見,Kitami,※,6248,3924,2324,6274,3924,2349
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,狛江,Komae,,8528,5479,3050,8587,5479,3108
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,和泉多摩川,Izumi-Tamagawa,,2939,1947,992,2877,1947,930
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,鶴川,Tsurukawa,,12637,8247,4390,12600,8247,4352
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,玉川学園前,Tamagawagakuen-Mae,,8773,5874,2898,8858,5874,2984
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,町田,Machida,,53354,30996,22358,53437,30996,22442
平成29,2017,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,,,,18566,11956,6610,18226,11956,6270
平成29,2017,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,小田急永山,Odakyu Nagayama,,5715,3368,2347,5674,3368,2305
平成29,2017,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,小田急多摩ｾﾝﾀｰ,Odakyu Tama Center,,9319,6022,3296,9048,6022,3025
