年齢階層,年齢 (歳) ,Age (years old),計 Total,男 Male,女 Female
0,総数,Total,116451,61471,54980
2,0～9,0-9,286,147,139
3,0,0,169,92,77
3,1,1,35,15,20
3,2,2,20,9,11
3,3,3,16,6,10
3,4,4,6,2,4
3,5,5,13,7,6
3,6,6,7,4,3
3,7,7,4,3,1
3,8,8,7,4,3
3,9,9,9,5,4
2,10～19,10--19,136,86,50
3,10,10,6,3,3
3,11,11,4,4,0
3,12,12,7,4,3
3,13,13,7,6,1
3,14,14,10,6,4
3,15,15,11,7,4
3,16,16,15,10,5
3,17,17,20,10,10
3,18,18,27,17,10
3,19,19,29,19,10
2,20～29,20-29,463,318,145
3,20,20,43,31,12
3,21,21,36,26,10
3,22,22,44,29,15
3,23,23,44,32,12
3,24,24,49,40,9
3,25,25,42,29,13
3,26,26,47,31,16
3,27,27,43,25,18
3,28,28,53,41,12
3,29,29,62,34,28
2,30～39,30-39,818,511,307
3,30,30,59,39,20
3,31,31,50,34,16
3,32,32,63,41,22
3,33,33,66,40,26
3,34,34,87,54,33
3,35,35,91,57,34
3,36,36,93,57,36
3,37,37,95,55,40
3,38,38,101,62,39
3,39,39,113,72,41
2,40～49,40-49,2491,1550,941
3,40,40,156,93,63
3,41,41,188,114,74
3,42,42,176,106,70
3,43,43,206,122,84
3,44,44,221,131,90
3,45,45,244,160,84
3,46,46,265,166,99
3,47,47,308,202,106
3,48,48,335,204,131
3,49,49,392,252,140
2,50～59,50-59,4888,3285,1603
3,50,50,377,241,136
3,51,51,381,246,135
3,52,52,430,282,148
3,53,53,434,283,151
3,54,54,475,304,171
3,55,55,490,356,134
3,56,56,530,364,166
3,57,57,566,393,173
3,58,58,603,405,198
3,59,59,602,411,191
2,60～69,60-69,12126,8474,3652
3,60,60,603,429,174
3,61,61,679,483,196
3,62,62,728,511,217
3,63,63,874,624,250
3,64,64,1002,692,310
3,65,65,1155,812,343
3,66,66,1347,956,391
3,67,67,1628,1145,483
3,68,68,1911,1354,557
3,69,69,2199,1468,731
2,70～79,70-79,24493,16032,8461
3,70,70,2040,1414,626
3,71,71,1573,1097,476
3,72,72,1874,1284,590
3,73,73,2336,1608,728
3,74,74,2353,1534,819
3,75,75,2694,1771,923
3,76,76,2860,1856,1004
3,77,77,2709,1734,975
3,78,78,2784,1729,1055
3,79,79,3270,2005,1265
2,80～89,80-89,42201,22154,20047
3,80,80,3604,2207,1397
3,81,81,3940,2371,1569
3,82,82,3935,2268,1667
3,83,83,4088,2309,1779
3,84,84,4389,2392,1997
3,85,85,4508,2301,2207
3,86,86,4524,2239,2285
3,87,87,4448,2126,2322
3,88,88,4418,2003,2415
3,89,89,4347,1938,2409
2,90～99,90-99,26252,8558,17694
3,90,90,4234,1773,2461
3,91,91,4165,1606,2559
3,92,92,3615,1354,2261
3,93,93,3157,1026,2131
3,94,94,2757,824,1933
3,95,95,2457,651,1806
3,96,96,2028,513,1515
3,97,97,1688,362,1326
3,98,98,1183,247,936
3,99,99,968,202,766
2,100～109,100-109,2287,355,1932
3,100,100,732,142,590
3,101,101,532,89,443
3,102,102,356,51,305
3,103,103,238,27,211
3,104,104,189,22,167
3,105,105,108,12,96
3,106,106,69,8,61
3,107,107,31,3,28
3,108,108,21,1,20
3,109,109,11,0,11
2,110～113,110-113,9,0,9
3,110,110,3,-,3
3,111,111,2,-,2
3,112,112,2,-,2
3,113,113,2,-,2
3,114～,114- and over,0,-,-
3,不詳,Unknown age,1,1,-
1,（再掲) 0～14,(relisted) 0-14,320,170,150
1,（再掲) 15～64,(relisted) 15-64,12648,8466,4182
1,（再掲) 65～ 1),(relisted) 65 and over 1),103482,52834,50648
,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,
2-7  人口動態  (4) 年齢，男女別死亡者数（平成29年） 2-7  VITAL STATISTICS  (4) DEATHS BY SINGLE YEARS OF AGE AND GENDER ( 2017 ),,,,,
「人口動態調査」 による。 数字は日本における日本人に関するもので， その年に発生し， 翌年1月末 （明治34年～大正11年及び昭和19年～46年はその年に発生し翌年3月末） までに届け出のあったものを， 昭和24年以前は発生地， 昭和25年以降は住所地により表章した。,,,,,
Data are based on the Vital Statistics Survey. Figures are only for Japanese nationals in Japan. Occurrences during the year stated that had been reported by the end of the following January (by the end of March for 1901-1922 and 1944-1971) are tabulated up to 1949 by place of occurrence， and from 1950 by place of residence. ,,,,,
注 1) （再掲）の「65～」は不詳分を含む。,,,,,
"Note: 1) In the ""relisted"" section， figures for ages 65 and up include those of unknown age.",,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,
年齢階層（0:総数　1:再掲　2:年齢区分　3:各年齢）,,,,,
