年次,Year,委員総会 General committee meetings,公益委員会議 Public utilities commission conferences,委員・あっせん員の会合 Meeting of members and mediators／総数 Total,委員・あっせん員の会合 Meeting of members and mediators／調整 Adjustment,委員・あっせん員の会合 Meeting of members and mediators／不当労働行為 Unfair labor practice,委員・あっせん員の会合 Meeting of members and mediators／資格審査 Examination of qualification,取扱新規件数 Number of new cases／総数 Total,取扱新規件数 Number of new cases／調整 Adjustment,取扱新規件数 Number of new cases／不当労働行為 Unfair labor practice,取扱新規件数 Number of new cases／資格審査 Examination of qualification
平成25,2013,25,24,1206,382,824,-,381,106,118,157
平成26,2014,24,24,1277,430,847,-,400,86,132,182
平成27,2015,25,24,1196,352,844,-,359,87,117,155
平成28,2016,24,24,1154,412,742,-,311,87,97,127
平成29,2017,25,24,1004,287,717,-,323,73,105,145
,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　7  労働 7  LABOR,,,,,,,,,,,
7-6  東京都労働委員会活動状況 (平成25～29年) 7-6  ACTIVITIES OF THE TOKYO LABOR RELATIONS COMMISSION ( 2013-2017 ),,,,,,,,,,,
資料：都労働委員会事務局総務課 Source: Secretariat to Labor Relations Commission， TMG　　　　　,,,,,,,,,,,
