年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成25,2013,総数,Total,,,,24368,16034,8334,24368,16034,8334
平成26,2014,総数,Total,,,,25778,17085,8693,25778,17085,8693
平成27,2015,総数,Total,,,,27731,18520,9211,27731,18520,9211
平成28,2016,総数,Total,,,,29207,19728,9479,29207,19728,9479
平成29,2017,総数,Total,,,,31392,21618,9774,31392,21618,9774
平成29,2017,日暮里・舎人ライナー,Nippori-Toneri Liner,日暮里,Nippori,※,9397,6940,2457,9399,6940,2459
平成29,2017,日暮里・舎人ライナー,Nippori-Toneri Liner,西日暮里,Nishi-Nippori,※,5148,3381,1768,5491,3381,2111
平成29,2017,日暮里・舎人ライナー,Nippori-Toneri Liner,赤土小学校前,Akado-Shogakkomae,※,945,493,451,886,493,392
平成29,2017,日暮里・舎人ライナー,Nippori-Toneri Liner,熊野前,Kumanomae,※,1777,1015,762,1702,1015,688
平成29,2017,日暮里・舎人ライナー,Nippori-Toneri Liner,足立小台,Adachi-Odai,※,723,479,243,715,479,235
平成29,2017,日暮里・舎人ライナー,Nippori-Toneri Liner,扇大橋,Ogi-Ohashi,※,1763,1180,583,1728,1180,549
平成29,2017,日暮里・舎人ライナー,Nippori-Toneri Liner,高野,Koya,※,1079,781,298,1060,781,279
平成29,2017,日暮里・舎人ライナー,Nippori-Toneri Liner,江北,Kohoku,※,1868,1257,611,1847,1257,590
平成29,2017,日暮里・舎人ライナー,Nippori-Toneri Liner,西新井大師西,Nishiaraidaishi-Nishi,※,2146,1494,652,2125,1494,632
平成29,2017,日暮里・舎人ライナー,Nippori-Toneri Liner,谷在家,Yazaike,※,1828,1281,546,1783,1281,501
平成29,2017,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人公園,Toneri-Koen,※,828,466,362,813,466,346
平成29,2017,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人,Toneri,※,1500,1070,430,1484,1070,414
平成29,2017,日暮里・舎人ライナー,Nippori-Toneri Liner,見沼代親水公園,Minumadai-Shinsuikoen,※,2391,1780,610,2359,1780,579
,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-11  都営日暮里・舎人ライナーの駅別乗降車人員 (平成25～29年度） 4-11 NUMBER OF PASSENGERS ON TOEI NIPPORI-TONERI LINER TRAINS BY STATION ( Fiscal Years 2013-2017 ),,,,,,,,,,,,
同一会社内の乗り継ぎは除く。  ※印は区部にある駅 (線) を示す。,,,,,,,,,,,,
Figures exclude transits between lines of the same company. The lines and stations marked with ※ refer to the ones located in the ku area.,,,,,,,,,,,,
資料：都交通局総務部企画調整課  Source: Bureau of Transportation， TMG,,,,,,,,,,,,
（単位　千人） (In thousands),,,,,,,,,,,,
