年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,規格改良済 Standard-improved／計 Total／延長 Length,規格改良済 Standard-improved／計 Total／面積 Area,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／延長 Length,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／面積 Area,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／延長 Length,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／延長 Length,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／延長 Length,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／面積 Area,未改良 Unimproved／計 Total／延長 Length,未改良 Unimproved／計 Total／面積 Area,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／延長 Length,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／延長 Length,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／延長 Length,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／面積 Area
平成26,2014,0,13000,,総数,Tokyo-to,24466923,185309675,18233090,167360258,321179,12677806,1008821,28087240,6220148,67891712,10682942,58703500,6233833,17949417,57650,587833,427461,2093754,5748722,15267830
平成27,2015,0,13000,,総数,Tokyo-to,24498186,186379779,18315681,168477508,321895,12731828,1017210,28564585,6239539,68172405,10737037,59008690,6182505,17902271,59159,599983,434140,2128594,5689206,15173694
平成28,2016,0,13000,,総数,Tokyo-to,24522639,187047726,18361686,169218870,323193,12964269,1019528,28472686,6251788,68580038,10767177,59201877,6160953,17828856,58382,594590,424812,2083669,5677759,15150597
平成29,2017,0,13000,,総数,Tokyo-to,24557683,187626292,18434055,169867818,321386,12916029,1023368,28597839,6281109,68897682,10808192,59456268,6123628,17758474,58175,592916,425025,2086447,5640428,15079111
平成30,2018,0,13000,,総数,Tokyo-to,24622612,188402007,18566095,170827557,319358,12838281,1026316,28725240,6281403,68816380,10939018,60447656,6056517,17574450,58032,586681,446645,2162641,5551840,14825128
平成30,2018,1,13100,,区部,All ku,11967937,103455206,10322436,97381368,294358,11742838,761015,19756008,3894052,38116816,5373011,27765706,1645501,6073838,24995,302845,221813,996656,1398693,4774337
平成30,2018,5,13101,1,千代田区,Chiyoda-ku,175519,2784831,175519,2784831,19575,798808,33976,892415,69239,804133,52729,289475,-,-,-,-,-,-,-,-
平成30,2018,5,13102,2,中央区,Chuo-ku,194342,2976037,186260,2935956,14930,600610,31362,924536,99681,1169022,40287,241788,8082,40081,909,12156,618,7154,6555,20771
平成30,2018,5,13103,3,港区,Minato-ku,303949,4393194,284803,4330406,29696,1241360,50734,1328270,87009,1100510,117364,660266,19146,62788,110,815,50,208,18986,61765
平成30,2018,5,13104,4,新宿区,Shinjuku-ku,356161,3399309,356161,3399309,12516,435731,35565,978373,79188,930340,228892,1054865,-,-,-,-,-,-,-,-
