地域階層,地域コード,地域,District,農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／総数 Total(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／販売なし Not for sale(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／50未満 less than 50(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／50～100未満 less than 50～100(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／100～200未満 less than 100～200(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／200～300未満 less than 200～300(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／300～500未満 less than 300～500(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／500～700未満 less than 500～700(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／700～1000未満 less than 700～1000(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／1000～1500未満 less than 1000～1500(万円 In ten thousands of yen),農業経営体 Farm management entity／農産物販売金額規模別 Selling price of produce／1500～以上 1500 and over(万円 In ten thousands of yen)
0,13000,総数,Tokyo-to,6023,643,1395,953,961,612,603,315,227,157,157
1,13100,区部,All ku          　,959,38,192,182,190,97,111,48,47,26,28
2,13101,千代田区,Chiyoda-ku,2,x,x,x,x,x,x,x,x,x,x
2,13102,中央区,Chuo-ku,6,-,-,-,-,-,-,-,-,2,4
2,13103,港区,Minato-ku,1,x,x,x,x,x,x,x,x,x,x
2,13104,新宿区,Shinjuku-ku,-,-,-,-,-,-,-,-,-,-,-
2,13105,文京区,Bunkyo-ku,-,-,-,-,-,-,-,-,-,-,-
2,13106,台東区,Taito-ku,1,x,x,x,x,x,x,x,x,x,x
2,13107,墨田区,Sumida-ku,-,-,-,-,-,-,-,-,-,-,-
2,13108,江東区,Koto-ku,1,x,x,x,x,x,x,x,x,x,x
2,13109,品川区,Shinagawa-ku,-,-,-,-,-,-,-,-,-,-,-
2,13110,目黒区,Meguro-ku,8,-,1,2,4,-,-,-,1,-,-
2,13111,大田区,Ota-ku,8,-,2,1,2,1,-,-,-,1,1
2,13112,世田谷区,Setagaya-ku,212,4,38,54,52,22,28,6,4,1,3
2,13113,渋谷区,Shibuya-ku,-,-,-,-,-,-,-,-,-,-,-
2,13114,中野区,Nakano-ku,9,-,2,3,2,-,1,-,1,-,-
2,13115,杉並区,Suginami-ku,76,5,26,13,16,6,6,2,-,-,2
2,13116,豊島区,Toshima-ku,1,x,x,x,x,x,x,x,x,x,x
