年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成25,2013,総数,Total,,,,,,3334757,1899773,1434984,3334398,1899773,1434625
平成26,2014,総数,Total,,,,,,3394159,1938795,1455364,3394114,1938795,1455319
平成27,2015,総数,Total,,,,,,3522765,2006648,1516117,3522758,2006648,1516110
平成28,2016,総数,Total,,,,,,3602048,2058723,1543325,3602021,2058723,1543298
平成29,2017,総数,Total,,,,,,3699591,2122891,1576700,3699357,2122891,1576466
平成29,2017,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,,,,,,2571919,1457847,1114072,2571501,1457847,1113654
平成29,2017,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,,,※,294628,132677,161951,297550,132677,164873
平成29,2017,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,渋谷,Shibuya,◎,40399,19376,21023,41647,19376,22271
平成29,2017,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,表参道,Omote-Sando,◎,11371,3553,7818,12308,3553,8755
平成29,2017,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,外苑前,Gaiemmae,,14561,6839,7722,15594,6839,8755
平成29,2017,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,青山一丁目,Aoyama-Itchome,◎,10180,4625,5555,10558,4625,5933
平成29,2017,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,赤坂見附,Akasaka-Mitsuke,◎,11547,5418,6129,11153,5418,5735
平成29,2017,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,溜池山王,Tameike-Sanno,◎,12405,6737,5668,11967,6737,5230
平成29,2017,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,虎ノ門,Toranomon,,21547,12694,8853,21279,12694,8585
平成29,2017,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,新橋,Shimbashi,,46505,23940,22565,45765,23940,21825
