地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／強姦 Rape),凶悪犯 Felonious offenses／侵入強盗 Breaking & entering/Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強姦 Rape),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強姦 Rape),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering/theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking and entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offenses／賭博 Gambling,風俗犯 Moral offenses／わいせつ Indecency,その他 Others／占有離脱物横領 Embezzlement of lost properties,その他 Others／公務執行妨害 Obstructing the execution of official duties,その他 Others／住居侵入 Trespassing,その他 Others／盗品等 Stolen properties， etc.,その他 Others／器物損壊等 Damage or destruction of structure， etc.,その他 Others／その他 Others
0,13000,総数,Tokyo-to,,,,125251,99,-,22,-,55,-,90,2,182,69,173,1,4529,2936,3,583,293,5237,82167,8299,150,623,1,11,22,961,4069,469,943,101,12627,534
1,13100,区部,All ku,,,,94080,74,-,17,-,47,-,72,2,148,54,139,1,3712,2350,2,440,229,3693,61665,6382,129,551,-,9,21,731,3162,365,721,83,8824,457
2,13101,千代田区,Chiyoda-ku,1,麹町署,Kojimachi P. Sta．,433,-,-,-,-,-,-,-,-,-,-,-,-,37,13,-,6,1,20,178,81,6,8,-,-,-,2,27,6,10,-,28,10
2,13101,千代田区,Chiyoda-ku,2,丸の内署,Marunouchi P. Sta. ,1174,1,-,-,-,-,-,1,-,-,-,2,-,138,33,-,11,5,9,730,105,3,20,-,-,-,8,34,8,7,-,40,19
2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda P. Sta.,527,1,-,-,-,1,-,-,-,-,-,1,-,35,25,-,3,1,28,303,56,-,3,-,-,-,3,22,2,9,1,31,2
2,13101,千代田区,Chiyoda-ku,4,万世橋署,Manseibashi P. Sta.,1185,-,-,-,-,-,-,1,-,4,-,1,-,77,20,-,11,2,38,798,83,5,8,-,2,-,9,57,8,3,2,49,7
2,13102,中央区,Chuo-ku,5,中央署,Chuo P. Sta.,698,-,-,1,-,1,-,1,-,1,-,1,-,33,22,-,5,2,37,408,72,2,10,-,1,-,7,31,2,6,-,52,3
2,13102,中央区,Chuo-ku,6,久松署,Hisamatsu P. Sta.　,394,-,-,-,-,-,-,-,-,-,-,-,-,22,7,-,-,-,25,235,40,-,1,-,-,-,5,21,3,2,1,31,1
2,13102,中央区,Chuo-ku,7,築地署,Tsukiji P. Sta.,1163,-,-,-,-,-,-,2,-,2,-,-,-,41,26,-,3,6,27,836,86,3,20,-,-,-,5,21,5,6,2,62,10
2,13102,中央区,Chuo-ku,8,月島署,Tsukishima P. Sta. ,346,-,-,-,-,-,-,1,-,1,-,-,-,24,17,-,3,-,7,197,33,-,4,-,-,-,2,7,2,1,-,45,2
