地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,東京都管理道路 TMG managed roads／延長 Length,東京都管理道路 TMG managed roads／面積 Area,東京都管理道路 TMG managed roads／一般国道(指定区間外) General national highways  a)／延長 Length,東京都管理道路 TMG managed roads／一般国道(指定区間外) General national highways  a)／面積 Area,東京都管理道路 TMG managed roads／主要地方道 Major metropolitan roads／延長 Length,東京都管理道路 TMG managed roads／主要地方道 Major metropolitan roads／面積 Area,東京都管理道路 TMG managed roads／一般都道 General metropolitan roads／延長 Length,東京都管理道路 TMG managed roads／一般都道 General metropolitan roads／面積 Area,東京都管理道路 TMG managed roads／特例都道 Metropolitan roads subject to special provisions／延長 Length,東京都管理道路 TMG managed roads／特例都道 Metropolitan roads subject to special provisions／面積 Area,一般国道(指定区間) General national highways( Designated section )／延長 Length,一般国道(指定区間) General national highways( Designated section )／面積 Area,東・中日本高速道路(株) East Nippon Expressway Company Limited・Central Nippon Expressway Company Limited／延長 Length,東・中日本高速道路(株) East Nippon Expressway Company Limited・Central Nippon Expressway Company Limited／面積 Area,首都高速道路(株) Metropolitan Expressway Company Limited／延長 Length,首都高速道路(株) Metropolitan Expressway Company Limited／面積 Area,区市町村道 Municipal roads／延長 Length,区市町村道 Municipal roads／面積 Area,,
0,13000,,総数,Tokyo-to,24622612,188402007,2243683,41640886,74253,1217568,976810,21084410,812074,11086922,380546,8251986,245560,7443734,77325,3950068,201954,5502930,21854090,129864389,,
1,13100,,区部,All ku,11967937,103455206,893412,21517268,17889,452363,458469,12187433,36508,625486,380546,8251986,166999,5528344,14340,480119,201954,5502930,10691232,70426545,,
5,13101,1,千代田区,Chiyoda-ku,175519,2784831,24879,834498,-,-,9687,331724,-,-,15192,502774,10279,399747,-,-,9958,234063,130403,1316523,,
5,13102,2,中央区,Chuo-ku,194342,2976037,21161,794634,-,-,12331,481128,-,-,8830,313506,5151,161891,-,-,11841,325838,156189,1693674,,
5,13103,3,港区,Minato-ku,303949,4393194,47754,1532299,480,14309,19065,593760,-,-,28209,924230,13946,516830,-,-,20207,485787,222042,1858278,,
5,13104,4,新宿区,Shinjuku-ku,356161,3399309,50944,1352831,-,-,30843,796661,-,-,20101,556170,4257,126393,-,-,5230,128182,295730,1791903,,
5,13105,5,文京区,Bunkyo-ku,207453,1953354,26106,651246,-,-,7498,228426,-,-,18608,422820,8173,202823,-,-,2281,55425,170893,1043860,,
5,13106,6,台東区,Taito-ku,258486,2625536,21319,548096,-,-,8808,210001,-,-,12511,338095,6548,251841,-,-,2105,39693,228514,1785906,,
5,13107,7,墨田区,Sumida-ku,296931,2956858,26716,624144,-,-,9336,229065,-,-,17380,395079,6574,184394,-,-,9504,209661,254137,1938659,,
5,13108,8,江東区,Koto-ku,395914,5740943,55077,1736390,-,-,29984,1013329,-,-,25093,723061,9839,369780,-,-,16899,565628,314099,3069145,,
5,13109,9,品川区,Shinagawa-ku,388455,3869746,25940,741976,-,-,15265,502577,-,-,10675,239399,16539,456306,-,-,17351,585773,328625,2085691,,
5,13110,10,目黒区,Meguro-ku,359120,2304685,21398,466230,-,-,11757,335041,-,-,9641,131189,882,35464,-,-,5026,180321,331814,1622670,,
5,13111,11,大田区,Ota-ku,853794,7579572,42790,1170282,3559,98040,33879,989749,659,10616,4693,71877,17630,528004,-,-,16362,543351,777012,5337935,,
5,13112,12,世田谷区,Setagaya-ku,1186233,8243790,69968,1110910,2907,71644,35663,715320,5411,49737,25987,274209,10128,320097,5556,193366,6390,123550,1094191,6495867,,
