年度,Fiscal year,地域階層,地域コード,項番 Item number,地域,District,ごみ Refuse volume／排出量 Discharged／総計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／可燃ごみ Combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量Volume collected and carried-in／不燃ごみ Non-combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／粗大ごみ Large-sized refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／資源ごみ Recyclable refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Collected and carried-in refuse／有害ごみ Toxic refuse (t),ごみ Refuse volume／排出量 Discharged／集団回収量 Group-collection recyclables (t),ごみ Refuse volume／排出量 Discharged／ピックアップ回収量 Recyclables recovered from refuse (t),ごみ Refuse volume／中間処分量 Intermediate disposal／焼却 Incinerated (t),ごみ Refuse volume／中間処分量 Intermediate disposal／その他 Others (t),ごみ Refuse volume／最終処分量 Final disposal (t),ごみ Refuse volume／総資源化量 Total recycled amount (t),し尿 Human waste／排出量 Discharged (kl),し尿 Human waste／処分量 Disposed (kl)
平成26,2014,0,13000,,東京都,Tokyo-to,4517456,4229251,3428197,128123,84801,586574,1556,272750,15455,3539411,840003,351805,1046412,95579,95579
平成27,2015,0,13000,,東京都,Tokyo-to,4519537,4221729,3427232,120069,85920,586849,1659,277360,20447,3545833,851584,370681,1040447,92051,92051
平成28,2016,0,13000,,東京都,Tokyo-to,4450835,4162610,3388667,111515,86774,573982,1673,266234,21988,3507723,820393,352982,1010519,88610,88610
平成28,2016,1,13100,,区部,All ku　,3290930,3080460,2644576,51817,57901,326167,-,188481,21988,2697311,485966,348675,577652,14081,14081
平成28,2016,2,13101,1,千代田区,Chiyoda-ku ,21191,20216,14985,639,476,4116,-,975,-,…,…,…,…,…,…
平成28,2016,2,13102,2,中央区,Chuo-ku,47280,42586,32638,1375,1336,7237,-,4683,10,…,…,…,…,…,…
平成28,2016,2,13103,3,港区,Minato-ku ,75616,68244,49964,1491,1540,15249,-,6154,1218,…,…,…,…,…,…
平成28,2016,2,13104,4,新宿区,Shinjuku-ku,91772,85433,67088,2258,2303,13783,-,6055,284,…,…,…,…,…,…
平成28,2016,2,13105,5,文京区,Bunkyo-ku ,56546,51230,39970,1597,1317,8346,-,4968,347,…,…,…,…,…,…
平成28,2016,2,13106,6,台東区,Taito-ku ,55105,49919,39692,2506,1348,6373,-,5179,7,…,…,…,…,…,…
平成28,2016,2,13107,7,墨田区,Sumida-ku,68032,62133,50950,1889,1951,7343,-,5899,-,…,…,…,…,…,…
平成28,2016,2,13108,8,江東区,Koto-ku,125616,107931,89231,-,3301,15400,-,14486,3199,…,…,…,…,…,…
