年次,Year,港または空港,Seaport or airport ,総数 Total,入国者 Entry／計 Total,入国者 Entry／日本人 Japanese,入国者 Entry／外国人 Foreigner,入国者 Entry／協定該当者 Under the status of forces agreement 1),出国者 Departure／計 Total,出国者 Departure／日本人 Japanese,出国者 Departure／外国人 Foreigner,出国者 Departure／協定該当者 Under the status of forces agreement 1)
平成27,2015,総数,Total,38126649,19089183,10368049,8603742,117392,19037466,10337634,8581352,118480
平成28,2016,総数,Total,42179951,21081603,10869976,10086896,124731,21098348,10883323,10090107,124918
平成29,2017,総数,Total,45804387,22918869,11401733,11386683,130453,22885518,11406313,11348794,130411
平成29,2017,東京,Tokyo,7503,4925,2937,1981,7,2578,1593,983,2
平成29,2017,羽田（空港）,Haneda(Airport),16713882,8331310,4550807,3745577,34926,8382572,4614536,3731748,36288
平成29,2017,成田（空港）,Narita(Airport),29083002,14582634,6847989,7639125,95520,14500368,6790184,7616063,94121
,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-25  港別出入国者数 （平成27～29年） 4-25 NUMBER OF PERSONS ENTERING OR DEPARTING JAPAN BY SEAPORT OR AIRPORT ( 2015-2017 ),,,,,,,,,,,,
注 １) 日米間の地位協定及び日本国における国際連合の軍隊の地位に関する協定による軍人，軍属及びその家族で，軍艦又は軍用機によらないで，本邦へ入国又は本邦から出国した者をいう。,,,,,,,,,,,,
Note： 1) Members of foreign military forces， civilian component， and their families falling under the US-Japan Status of Forces Agreements and UN Status of Forces Agreement， who entered or departed Japan by means other than military ships or aircraft.,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice,,,,,,,,,,,,
