年度末,End of fiscal year,業種,Type of industry,給水件数 № of customers,基本水量 Basic water supply,用途別 Use of water／冷却 For cooling,用途別 Use of water／洗浄 For washing,用途別 Use of water／洗車 For car washing,用途別 Use of water／散水 For watering,用途別 Use of water／水洗トイレ For toilet flushing,用途別 Use of water／その他 Others
平成27,2015,総数,Total,304,13196,1629,1318,910,712,6229,2398
平成28,2016,総数,Total,302,12633,1176,789,925,862,6438,2443
平成29,2017,総数,Total,298,12610,1168,790,902,862,6445,2443
,,,,,,,,,,,
6-6  工業用水道の業種・用途別基本水量 (2) 一般雑用水　（平成27～29年度末） ,,,,,,,,,,,
6-6  BASIC INDUSTRIAL WATER SUPPLY BY TYPE OF INDUSTRY AND WATER USE (2) GENERAL MISCELLANEOUS USE ( End of Fiscal Years 2015-2017 ),,,,,,,,,,,
注) 集合住宅は含まない。,,,,,,,,,,,
Note: Excluding collective housing.,,,,,,,,,,,
　　資料：都水道局総務部調査課「事業年報」　　  　　　   Source : Bureau of Waterworks T.M.G. ,,,,,,,,,,,
（単位　立方メ－トル／日）(In cubic meters per day),,,,,,,,,,,
