年度末,End of fiscal year,月末 ,End of month,銀行数 Number of banks,店舗数 Number of branches,資産 Assets／貸出金 Loans and bills discounted／総額 Total,資産 Assets／貸出金 Loans and bills discounted／割引手形 Bills discounted,資産 Assets／貸出金 Loans and bills discounted／手形貸付 Loans on bills,資産 Assets／貸出金 Loans and bills discounted／証書貸付 Loans on deeds,資産 Assets／貸出金 Loans and bills discounted／当座貸越 Overdrafts,資産 Assets／貸出金 Loans and bills discounted／(うち) 23区内 (of which) Ku area,資産 Assets／コールローン･買入手形 Call loans and bills bought,資産 Assets／商品有価証券 Trading account securities,資産 Assets／有価証券 Securities,資産 Assets／現金・預け金 Cash and due from banks／現金 Cash,資産 Assets／現金・預け金 Cash and due from banks／(うち) 小切手・手形 (of which) Checks and bills,資産 Assets／現金・預け金 Cash and due from banks／預け金 Due from banks,負債 Liabilities／預金 Deposits／総額 Total,負債 Liabilities／預金 Deposits／要求払預金 Demand deposits,負債 Liabilities／預金 Deposits／定期性預金 Time deposits,負債 Liabilities／預金 Deposits／その他預金 Other deposits,負債 Liabilities／預金 Deposits／(うち) 一般預金 (of which) Private deposits,負債 Liabilities／預金 Deposits／(うち) 23区内 (of which) Ku area,負債 Liabilities／譲渡性預金 Negotiable  certificates of deposit ,負債 Liabilities／コールマネー・売渡手形 Call money and bills sold,負債 Liabilities／借用金 Borrowed money,,
平成25,2013,総数,Total,98,1127,1820402,3946,37356,1455844,323151,1757901,25685,3837,1694990,30042,16617,657315,1935184,1126543,655789,152770,1779135,1756798,275185,138287,259011,,
平成26,2014,総数,Total,98,1133,1875314,3593,36261,1514416,320927,1812455,18498,1679,1643081,25756,11719,1003517,2029151,1198126,663991,166955,1866372,1844132,291274,136096,320158,,
平成27,2015,総数,Total,98,1152,1935843,3114,33136,1592299,307184,1872709,15806,3324,1492346,26064,9804,1342943,2200506,1368139,661177,171105,1985175,2014431,246309,45226,336049,,
平成28,2016,総数,Total,98,1160,1998968,2696,29904,1652622,313635,1935001,11641,741,1429516,25780,8338,1709827,2357380,1547766,637571,171962,2115373,2165234,235536,26487,469465,,
平成29,2017,総数,Total,98,1169,2032539,2792,28078,1683422,318136,1968136,23156,3052,1465186,19000,3988,1922175,2478807,1670719,632334,175674,2230031,2280113,216535,39144,511927,,
平成29,2017,4,Apr.,,1164,1982384,2792,33195,1654449,291834,1918804,13881,3867,1385407,27610,10163,1827759,2380602,1575302,639941,165271,2140094,2186710,227655,40807,471205,,
平成29,2017,5,May,,1164,1977309,2345,33415,1650974,290473,1913958,15648,5391,1420773,35941,17455,1810067,2399503,1526024,640394,232995,2124519,2206479,216396,52358,470850,,
平成29,2017,6,June,,1164,1986291,2352,33964,1649326,300542,1922989,12497,4740,1504989,23142,5642,1801130,2356454,1533401,644021,178942,2128965,2161846,221854,46937,481706,,
平成29,2017,7,July,,1167,1983228,2337,34209,1652932,293640,1919879,11581,4308,1469901,31323,13505,1824357,2376368,1516267,646145,213866,2129079,2182182,233736,44919,495020,,
平成29,2017,8,Aug.,,1167,1977974,2185,34018,1651522,290142,1914849,12926,4171,1489193,30470,13012,1847922,2377960,1515798,645432,216647,2125212,2183806,225540,59798,495569,,
平成29,2017,9,Sept.,,1169,1994128,2595,29924,1656092,305403,1930689,12860,1204,1444333,20588,4182,1858196,2374993,1570058,645685,159176,2146217,2180307,227514,41914,511362,,
平成29,2017,10,Oct.,,1170,1989920,2209,34149,1663467,289989,1926672,25345,3894,1465096,31130,13854,1868381,2417835,1568075,646333,203339,2175345,2222851,229949,48579,519031,,
平成29,2017,11,Nov.,,1172,1998350,2233,34396,1667158,294453,1934972,24373,3791,1478290,32195,14689,1867982,2458761,1571752,642125,244810,2191428,2263967,227029,54235,518341,,
平成29,2017,12,Dec.,,1172,2027955,2723,36365,1676281,312474,1964309,21044,5131,1469161,22045,3646,1860071,2382498,1574856,639105,168453,2155857,2184417,225347,46619,528570,,
平成30,2018,1,Jan.,,1172,2022524,2416,33946,1674297,311754,1959079,39655,4860,1457862,31931,13625,1886968,2428051,1571341,639069,217556,2173405,2231611,228989,65563,527741,,
平成30,2018,2,Feb.,,1172,2014002,2351,32673,1671162,307707,1950489,34832,5637,1453455,30589,12496,1849034,2445459,1591777,635650,217940,2177080,2249395,209293,62371,526541,,
平成30,2018,3,Mar.,,1173,2032539,2792,28078,1683422,318136,1968136,23156,3052,1465186,19000,3988,1922175,2478807,1670719,632334,175674,2230031,2280113,216535,39144,511927,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-1  銀行の主要勘定 (平成25～平成29年度末) 15-1  MAIN ACCOUNTS OF BANKS ( End of Fiscal Years 2013-2017 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表の「銀行」とは都市銀行，地方銀行，第二地方銀行協会加盟の地方銀行，信託銀行，　新生銀行，あおぞら銀行及び農林中央金庫をいう。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this table， ""banks"" refer to city banks， regional banks， member banks of the Second Association of Regional Banks (regional banks II)， trust banks， Shinsei Bank， Aozora Bank and Norinchukin Bank.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：（一社）全国銀行協会パブリック・リレーション部 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位  億円）(In hundred millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,
